"[샤오미 미투 유모차를 사자는 거예요. ], 긍정 텍스트 확률 : 50.33%"
"[ 원에 구입했습니다.사고 나니 벤하우스에서 만원에 파는 중..후..역시 인생은 타이밍이랬던가? 배송까지는 일정도 걸렸고], 긍정 텍스트 확률 : 60.19%"
"[무게감 꽤 있는 상품이라박스가 당연히 부서져 있겠지 생각했지만 배송기사님 감사합니다 ㅠㅠ 정말 깨끗히 왔어요 경동택배 만세 ], 긍정 텍스트 확률 : 98.34%"
"[ 강아지 유모차 추천 에어버기 강아지 유모차사이즈샌드베이지 색상배송이 오다 언박싱 고고 ], 긍정 텍스트 확률 : 64.89%"
"[ 설명서는 한국어로도 되어있고], 긍정 텍스트 확률 : 91.76%"
"[역시 일본제품답게 일본어 설명서도 들어있어요. 우선 부품이 다 왔는지를 꼭꼭 확인해요 ], 긍정 텍스트 확률 : 79.43%"
"[사실 전 설명서를 잘 안 읽어요. 무슨 자신감인..지? ㅋㅋㅋㅋㅋㅋㅋㅋ보이는대로.. 사실 블로그나 인스타에 완성품 검색해서 그거보고 했습니다 ], 긍정 텍스트 확률 : 70.62%"
"[ 에어버기유모차 샌드베이지 색상 구경색 정말 많이 망설였어요. 하지만 때도 덜 타면서 예쁜컬러인 샌드베이지 생각보다 어둡고 금빛 ? 이 나서 조금 놀랬지만조립 완성을 하니 고급적인 색감이였다는], 긍정 텍스트 확률 : 94.40%"
"[ 무게도 무게지만], 긍정 텍스트 확률 : 52.07%"
"[크기도 생각보다 너무커서콩이 태우고도 훨씬 남겠구나 생각했어요.위], 긍정 텍스트 확률 : 74.39%"
"[ 생각보다 엄청 크죠?옆에는 샤오미 공기청정기 프로 인데 사이즈 비교 해보셔도 좋을 것 같아요 ], 긍정 텍스트 확률 : 56.01%"
"[ 저는 유모차 풀장착 후 바로 나왔어요 장마철이라 비가 조금.. 와 정말 핸들링 최고임 왜 에어버기 에어버기 하는 지 알 것 같았어요], 긍정 텍스트 확률 : 97.77%"
"[ 이렇게 보니 또 공간이 반 이상 남은 거 보이시죠?추가로 산책로도 다녀왔어요 ], 긍정 텍스트 확률 : 85.18%"
"[한 손으로도 편리 ], 긍정 텍스트 확률 : 50.59%"
"[ 그리고 집 오는 길..비가 와서 닫아놓고뛰어왔어요ㅋㅋ 조심조심 ], 긍정 텍스트 확률 : 51.92%"
"[ 날 꺼내달라 ], 긍정 텍스트 확률 : 75.16%"
"[그리고 에어버기 유모차를 사용하시는 분들이라면꼭 필수템으로 겟하시는 핸들 커버 저는 벤하우스에서 구입했어요. 핸들 커버를 왜 사용하냐? 는 글을 봤을 땐], 긍정 텍스트 확률 : 60.56%"
"[원래 장착되어 있는 핸들커버가 핸드크림이나 손땀으로 인해 변질 된다고 해요 꼭 필수로 사야할 템 ...?...? ], 긍정 텍스트 확률 : 85.73%"
"[ 조금 삐뚫긴 하지만 생각보다 쉬웠어요.하지만 다시 끼우라면. 안 할 래 요.?포기하지마포기하지마], 긍정 텍스트 확률 : 85.78%"
"[ 특히 잘 때 땀을 엄청 흘리면서 자는 쁘미에게 쿨매트처럼 유모차나 카시트에도 쿨시트가 있으면 좋겠다고 생각할때쯤 파파코코 공기청정 쿨시트를 알게 되었어요. ], 긍정 텍스트 확률 : 78.79%"
"[귀여운 고래 그림과 함께 깔끔하고 고급스럽게 포장되어 있는 박스를 받아보았어요. ], 긍정 텍스트 확률 : 96.80%"
"[ 박스를 열어보면 요렇게 담겨져 있더라구요. 쿨시트는 주머니에 한번 더 담겨서 오는데 유모차와 카시트 호환이 가능하기 때문에 저는 주머니에 담아 필요한 곳에 사용하고 있어요. ], 긍정 텍스트 확률 : 70.12%"
"[ 가장 궁금했던 파파코코], 긍정 텍스트 확률 : 75.45%"
"[주머니 속에 담겨진 제품을 꺼내보았어요 ], 긍정 텍스트 확률 : 71.61%"
"[ 파파코코 공기청정 쿨시트가 바로 이거에요. 제가 원래 사용하던 유모차 쿨시트보다 길이감이 조금 길고 살짝 무게감도 있어요.], 긍정 텍스트 확률 : 71.15%"
"[파파코코 유모차 쿨시트의 경우는 무게를 충분히 지지해주기 때문에 공기층 사이로 바람이 원할하게 통하더라구요. ], 긍정 텍스트 확률 : 71.62%"
"[ 그리고 기존에 사용하던 유모차 쿨시트와 다른 무언가가 시트 안에 들어있었어요. ], 긍정 텍스트 확률 : 66.17%"
"[ 이 실리콘 지지부 덕분에 바람이 한쪽으로만 오지 않고 분산되어 바람이 통하게 해주고 실리콘 재질이기때문에 구부러지는 등 모양이 바뀐다고 해도 효과적으로 바람이 통하더라구요. ], 긍정 텍스트 확률 : 71.89%"
"[담배연기와 같은 유해물질을 걸러주는 카본필터로 이루어져 있더라구요. 미세먼지 많은 날은 외출을 꺼리게 되는데 아이와 가장 가깝게 있는 유모차], 긍정 텍스트 확률 : 93.38%"
"[카시트의 공기청정기 역할이 되어 주니 마음에 들었어요. ], 긍정 텍스트 확률 : 84.96%"
"[ 쿨링패드와 실리콘지지대], 긍정 텍스트 확률 : 61.52%"
"[필터 등 모두 넣은 후 마지막 지퍼를 채우면 되는데요. 지퍼의 끝부분은 안전공간으로 되어 있어서 지퍼가 안보이도록 마무리되더라구요. ], 긍정 텍스트 확률 : 79.44%"
"[ 그런데 파파코코 유모차 쿨시트 덕분에 유모차 내부의 공기를 시원하게 바람이 통해주니 쁘미가 잘 자더라구요. 또 평소같으면 이렇게 잠들고 나서 등부분의 옷이 젖는데 이 날은 괜찮았어요.통풍시트 너무 잘 사용하고 있어서 컴퓨터할때 방석처럼 제가 앉아있기도 해요. 점점 더워지는 여름철], 긍정 텍스트 확률 : 81.90%"
"[쁘미처럼 열많은 아기라면 바람 솔솔 통하는 쿨시트 준비해보세요 ], 긍정 텍스트 확률 : 65.28%"
"[.안녕하세요 .오늘은 유아 외출아이템.킥보드를 소개하려고 합니다 ω .바로 .샤오미 킥보드 인데요], 긍정 텍스트 확률 : 52.90%"
"[ .?샤오미미투킥보드샤오미미투킥보드 가 딱이더라구요 ], 긍정 텍스트 확률 : 50.30%"
"[ .샤오미 킥보드의 장점이라면], 긍정 텍스트 확률 : 59.99%"
"[ .풋브레이크가 다른제품은 오히려.너무 잘 눌려서 .급 정지하는 바람에 넘어지는 경우도 있는데.서서히 멈출수 있게 적당한 눌림이에요 ], 긍정 텍스트 확률 : 55.15%"
"[ .마치...디럭스 유모차같은 .승차감이라고 할까요...?.핸들링까지도 부드러워서.너무 좋더라구요（╹◡╹）♡.장점 정말 많죠? .인스타에 후기 보니까 예쁜 바구니도.장착 가능하더라구요.저도 조만간 달아줄 예정이에요.다만], 긍정 텍스트 확률 : 99.85%"
"[ .그리고 대망의...자랑거리..❤️.바퀴가 굴러갈때 불빛이 들어오는데 ], 긍정 텍스트 확률 : 84.25%"
"[ .주정도 기다릴 수 있어요 ω ..저는 마트에서 살 가격이면 .바로 이 샤오미유아킥보드를 강력 추천합니당....내 돈주고 사서 쓴 후기입니당 ◠‿◠ . ], 긍정 텍스트 확률 : 70.78%"
"[ 그래서 오늘은이런 날 더욱 필수인 아기 유모차카시트 쿨시트인 파파코코 공기청정 쿨시트 탄], 긍정 텍스트 확률 : 96.31%"
"[장착기사용기 보여드리려구요.지난 주 일요일], 긍정 텍스트 확률 : 90.08%"
"[ 카시트에 장착하기 전에 먼저 헤파필터 설치를 위해 꺼내왔는데요.딸랑구가 빛의 속도로 달려와서 자기꺼라며 손도 대지 못하게 합니다.겨우겨우 미세먼지 걱정없이 더 시원할 수 있게 해주겠다 설득해서 나왔어요.ㅋㅋㅋ ], 긍정 텍스트 확률 : 74.59%"
"[ 헤파필터 설치는 매우 간단해요.상자 뒷면 또는 사용설명서에도 설치 방법이 나와 있구요. ], 긍정 텍스트 확률 : 75.03%"
"[ 그리고...전...모터 부분에 나사가 있어서 고 부분은 어떻게 생겼는지 너무 궁금하여 한번 열어보았어요.같이 동봉되어 있는 드라이버로 말이에요.처음에 드라이버가 동봉되어 있어서 저기에 헤파필더를 설치하는 줄 알았는데 그게 아니더라구요.헤파필더를 위한 뚜껑은 손으로 그냥 돌려서 열어주시면 됩니다개봉기에 잘 못 적어서 수정해야겠어요.ㅠㅠ ], 긍정 텍스트 확률 : 81.46%"
"[ 보조배터리 연결 후 정상 작동 여부 확인을 위해 전원 스위치를 눌러보았어요다행히도 잘 작동이 되네요.말씀드렸듯이 소음이 그리 크지도 않아요. ], 긍정 텍스트 확률 : 85.21%"
"[ 후크가 달린 고무줄을 잡아 당겨서 카시트에 가능한 곳 아무데나 걸어서 고정시켜 주시면 됩니다. ], 긍정 텍스트 확률 : 50.17%"
"[ 파파코코 쿨시트 장착 후 앉혀줬더니 너무 좋아해요원래 자기 의자라며 카시트 타는 걸 어려워하진 않았지만 쿨시트 설치 후 더더더 좋아합니다 ], 긍정 텍스트 확률 : 89.27%"
"[ 아래에서 바람이 슝슝 나와 상쾌하니 저절로 기분이 좋아지나봐요.아이들 안전을 위해 필요한 카시트], 긍정 텍스트 확률 : 55.88%"
"[ 그런데 파파코코 공기청정 쿨시트는 이런 고민과 생각을 한번에 모두 날려주었어요카시트 뿐만 아니라 유모차에도 호환이 되고 거기에 보관과 이동], 긍정 텍스트 확률 : 61.42%"
"[ 시원한 바람이 나오니 절로 기분이 좋아졌는지 또 신났어요시트에서 바람이 나오니까 딸랑구도 신기하면서도 시원한지 진짜진짜 좋아하더라구요. ], 긍정 텍스트 확률 : 56.27%"
"[ 올 여름 카시트와 유모차에서도 아이가 찡찡거리지 않고 시원하게 보낼 수 있는 쿨시트를 찾고 계신다면파파코코 망설이실 필요가 없을 것 같아요.우리 아이 카시트], 긍정 텍스트 확률 : 98.41%"
"[.?파파코코공기청정쿨시트파파코코공기청정쿨시트.?파파코코파파코코.?공기청정쿨시트공기청정쿨시트.?공기청정기공기청정기.?세계최초세계최초.?유모차시트유모차시트.?유모차쿨시트유모차쿨시트.?쿨시트쿨시트.?통풍시트통풍시트.?헤파필터헤파필터.?땀띠땀띠.?육아템육아템.?육아템추천육아템추천.?런칭이벤트런칭이벤트 ], 긍정 텍스트 확률 : 97.15%"
"[ 아직 육아 도 안해본 뱃 속 아기 품은 예비엄마가출산준비하면서 골라본 용품들⊡ 유모차], 긍정 텍스트 확률 : 63.05%"
"[처음엔 바구니카시트를 중고로 사서 잠깐 쓰려했다. 그러다 애기 키우고 차 타고 엄청 돌아다니는 친구들이 바구니카시트를 사용한 적이 없다는 얘길 듣고], 긍정 텍스트 확률 : 65.78%"
"[솔직히 카시트는 엄청 재고따지고 막 그르지 않았다.. 암튼 우리는 회전형으로 결정 ], 긍정 텍스트 확률 : 55.80%"
"[이건 정말 대여로 잠깐 써봐야하는 아이인 듯.근데 그래도 꼭 써보고싶은 바운서가 있어가지고.. ], 긍정 텍스트 확률 : 88.61%"
"[ ⊡ 흑백초점책조리원에 갈 예정이어서 그 곳 프로그램으로 만드는 걸로 쓸 예정이다. 그러다 또 소비요정이 돋아서 ], 긍정 텍스트 확률 : 50.55%"
"[잠깐이라도 엄빠를 쉴 수 있게해줄 효자템 ], 긍정 텍스트 확률 : 50.70%"
"[알고보니 사람들 엄청 쓰는 아이였다.보다보면 여기에 앉아있는 애기들 많이보인다일상에 놓고 앉히기도하고 그러는 듯친구 애기키울 때 보니 바퀴가 달려서 자기가 줄 달아애 끌고 다니던데 그런 거 좋겠다 ㅋㅋ ], 긍정 텍스트 확률 : 60.91%"
"[어느새 리스트 목록들 줄이 많이 그어졌다진짜 요즘 택배들이 와르르르윗집언니랑 일주일차이 산모친군데택배아저씨 이게 뭔일인가싶으시게 오고있다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.46%"
"[걱정이 많았는데요. 막상 해보니깐 여자 혼자서도 충분히 할 수 있었어요.우선 유모차커버와 푸쉬에어를 준비해주세요. ], 긍정 텍스트 확률 : 87.32%"
"[ 인조가죽 느낌으로 된 가이드판을 먼저 부착해야해요. 이 뒷면 종이를 제거하면 양면테이프처럼 되어 있어요.아까 생각한 위치에다가 이걸 붙여야하는데 주의하셔야할 점이....저는 이 뒷종이를 홀랑 떼고 붙이려고 했거든요? 그랬더니만 자꾸 잘못 붙어가지구 뗐다 붙였다 하느라고 아주 죽을 맛.... 다행히 잘 떨어지고 찢어지진 않았는데 힘들더라구요. ], 긍정 텍스트 확률 : 84.42%"
"[ 다음으로], 긍정 텍스트 확률 : 71.57%"
"[ 이 프레임을 유모차커버 바깥쪽에서 끼워주세요. ], 긍정 텍스트 확률 : 63.94%"
"[ 요렇게 착 끼워지면 거의 다 하신겝니다 ㅎㅎ ], 긍정 텍스트 확률 : 85.13%"
"[ 다음으로는 필터를 끼워주세요.헤파필터랍니다. 이건 푸쉬에어 사이트에서 추가 구매하실 수 있어요. ], 긍정 텍스트 확률 : 89.63%"
"[ 바깥 그물망을 덮어주세요. 자석이 있어서 착 붙어요. ], 긍정 텍스트 확률 : 53.18%"
"[ 뒷면에 버튼이 있는데], 긍정 텍스트 확률 : 63.87%"
"[ 이게 뭐라고.. 이거 하나 다니깐 마음이 그렇게 편할 수가 없네요. 저는 휴대용 미세먼지측정기를 아직 구입하지 않아서 실제 효과를 보여드리긴 어려운데요. 푸쉬에어 후기 검색해보시면 정말 눈에 띄게 수치가 낮아지는 걸 볼 수있어요. 저도 휴대용 측정기 하나 구입하려구요. 구입하면 한 번 실제 수치 변화도 기록해볼께요 ], 긍정 텍스트 확률 : 93.53%"
"[ 아직 마스크를 씌우지 못하는 우리 둘째는], 긍정 텍스트 확률 : 62.74%"
"[ 본격적으로 날씨가 추워지면서다시 극심한 미세먼지와 함께 차가운 북서풍이 불어오고 있습니다.올겨울도 추워서 라기보다는 미세먼지 때문에 마스크를 달고 살아야 할거 같은데요.이렇게 대기오염이 심해지면서 이제는 선택이 아니라 필수 요소가 된 가전기기가 바로 공기청정기가 아닐까 합니다. 그런데 집에서야 문 닫고 공기청정기 틀면 된다고 하지만], 긍정 텍스트 확률 : 65.96%"
"[외출에 나서서 차량이나 사무실에서는 공기청정기가 없어 갑갑한 마스크를 종일 쓰고 있거나 어쩔 수 없이 벗어두게 되기도 하고], 긍정 텍스트 확률 : 50.42%"
"[매뉴얼단순한 공기청정기 제품이다 보니 특별한 구성품 없이 단출합니다. 그래도 휴대용 제품임을 강조하는 가죽 스트랩이 좀 특별하긴 합니다.○○○○○○○○○○ ], 긍정 텍스트 확률 : 56.04%"
"[ 상단 디스플레이의오염도 수치는 집에서 사용하던 공기청정기의 표기법보다 단위가 커서 깜짝 놀랐었는데요. 제품 페이지를 보니 위와 같이 수치값 자체가 크더군요. 샤오미 에어에 비해 두세 배 정도 높은 값인 거 같아요.○○○○○○○○○○ ], 긍정 텍스트 확률 : 83.54%"
"[저처럼 일주일에 한두 번 운행을 하는 경우 애물단지 느낌이 있기도 합니다. 하지만], 긍정 텍스트 확률 : 60.41%"
"[ 디티 에어퓨리차량용 휴대용 공기청정기라면 내장된 배터리를 통해 무선으로 사용할 수 있어 다양하게 사용이 가능하기 때문에 구매 후에 후회할 일은 없을 것 같습니다.저는 최근에 캠핑을 가서 사용을 해봤는데요 공기 좋은 곳으로 캠핑을 나서지만 요즘 우리나라는 미세먼지가 닿지 않는 곳이 없는 데다가 좁은 텐트 안에 침낭이나 베개 등 여러 가지 물건과 함께 생활을 하다 보니 텐트 안에도 먼지가 생기기 마련인데요. 이럴 때에 머리맡에 공기청정기를 켜두고 잠을 자보니 깨어났을 때 코 안이 답답하지 않은 느낌이 있어 좋더군요.○○○○○○○○○○ ], 긍정 텍스트 확률 : 89.37%"
"[기운이 넘쳐나는 살 아들내미 기운 빼러 가끔 자전거에 트레일러를 달고 탄천 라이딩을 즐기려 할 때 먼지가 많은 날이면 나서기가 꺼려지기도 했었습니다만 선선해진 지금 가을 날씨에 트레일러 창문을 모두 닫고 안에다가 공기청정기를 넣고 다니면 많이 안심이 되기도 했습니다.○○○○○○○○○○ ], 긍정 텍스트 확률 : 93.28%"
"[ 월 날씨임에도 불구하고 벌써부터 이렇게 무더위 기승에 요즘 밖을 나기가기 두렵네요 하지만], 긍정 텍스트 확률 : 62.93%"
"[아이를 낳기전부터 지금 현재까지 남편일을 돕기도하고 개인적인 업무로인해 안팎으로 해야할일이 있어 집안에만 머물러 있을수 없기에 항상 아이와 함께 차로 이동을 하고 유모차를 끌며 한마디로 총체적 난국을 일삼는 바쁜 일상을 보내고 있는 바쁜 아줌마인데요 ㅎㅎ 그렇게 바쁜 엄마를 둔 아이도 덩달아 바쁨을 일삼는데 문제는 찜통같은 계절 여름이 다가오고 있어 우리 모녀를 쫄보로 만들고 있다는 점이예요 ㅋㅋㅋ], 긍정 텍스트 확률 : 80.75%"
"[그 문제를 해결하고자 이번 후기는 땀 많고 열많은 어린 아기들에게 조금 도움이되고자 사용 후기를 남겨봅니다. ], 긍정 텍스트 확률 : 91.06%"
"[예전에 저도 한겨울에 양말을 안신고 다닐정도로 정말 열이 많은편이였어요. 하지만 나이가 체질을 바뀌게 해주더군요 ], 긍정 텍스트 확률 : 63.56%"
"[ 문제는 우리 아기가 아빠를 닮아 열이 열이 많은 체질이라 조금만 덥고 습해도 땀을 흘리고 더워해서 한 여름에 외출은 그야말로 전쟁이나 마찬가지인데], 긍정 텍스트 확률 : 68.94%"
"[올 여름은 어떻게 지내야할지.. 걱정하던 중이였어요.집안은 시원하니 늘 낮잠은 기본으로 시간 쿨쿨 자고 중간에 한번도 깨지않고 푹 자고 일어나 컨디션도 최상이라 입맛도 팽팽 돌아 밥도 잘먹고해요 애 아빠도 더우면 밥도 안넘어가고 만사가 다 귀찮다고 여름이면 에어컨을 어찌나 빵빵 틀고 있는지 저는 냉방병 걸릴정도였는데 그나마 남편도 나이먹으니 좀 추위를 타기시작하면서 더위를 덜 타기 시작하더군요], 긍정 텍스트 확률 : 58.66%"
"[ 특히나 우리 딸은 보통 아이들보다도 열이 많아 땀도 많이 나는 체질이라 이렇게 더운날이면 이마와 등짝에 흘러내리는 땀들로인해 계속 징징대며 짜증을내기때문에 무엇보다 아이가 시원하게 해주는대에 중점을 많이두고 있거든요. 태어났을때부터 체질적으로 엄마아빠를 닮아 체온이 조금 높은편이구나... 알게된후로는 시원하게 해주는 편이라 태열 한번 일어나지 않고 다행히 순조롭게 지금까지 지내왔는데 최근래에 방심해서였는지 땀띠가 온몸에 나서 아주 곤욕을 치뤘었어요 ㅠㅠ휴....다행이 몇일만에 금방 가라앉았지만보기에도 안쓰럽고 간지러워하고 땀을 안나게 할수도 없는 노릇이고 땀구멍을 틀어막을수도 없고 어찌해야되냐면서 ㅋㅋㅋㅋㅋㅋ 에어컨을 시원하게 틀어놓으면 콧물이 줄줄줄 흘러 코감기가 쉽게 걸리고 시원하게 해주려다가 오히려 감기까지 걸리는 일도 허다했어요. 어린 아이들의 부모님들은 아마 이같은 상황을 누구보다 잘 아실꺼예요], 긍정 텍스트 확률 : 98.57%"
"[ 이렇게 자고나서 또 엄마따라 밖을 나서야되는데], 긍정 텍스트 확률 : 82.98%"
"[ 지난번에 제가 보여드렸던 유모차라이너 파파코코 쿨시트 장만한 후에 외출시에 항상 유모차에 깔고 실내 실외를 다니는데], 긍정 텍스트 확률 : 74.84%"
"[파파코코 쿨시트를 깔아준 후로 발 아래로 바람이 솔솔 나와그런지 제 스스로 보채지도않고 꿀잠을 자길래 와우 이거 여름에는 필수품이다 생각하고 열심히 사용하고 있는중이랍니다.육아용품이야 천차만별 헤아릴수없이 많지만 어쩌다 알게된 꼭 아이와엄마한테 필요한 육아템을 발견했을때의 기쁨은 이루말할수가 없죠 육아를 안해 본 분들은 모르실꺼예요... 정말 정신적으로 육체적으로 얼마나 힘든지를...그래서], 긍정 텍스트 확률 : 69.32%"
"[ 특히나 저는 대 뒤늦은 나이로 마무리를 해야되는 육아를 다시 시작해야되는 육아에 따라주지않는 육체로 몹시 피로함을 늘 달고 사는데], 긍정 텍스트 확률 : 99.06%"
"[내가 조금이나마 편하게 아이를 키워야하는 방법을 터득했다면 나와 아이에게 필요한 용품을 잘 선택해서 사용하자였어요.그리고], 긍정 텍스트 확률 : 92.63%"
"[ 파파코코 공기청정 쿨시트는 일반 유모차 라이너 쿨시트와는 달리 통풍시트 같은 기능성 제품이라 보시면 됩니다.요즘 차 옵션으로 운전석과 조수석 시트에 통풍시트가 들어있어 바람이 시원하게 나오는거 아시죠?그거 완전 궁둥이 시원한게 여름에 완전 최고인데], 긍정 텍스트 확률 : 93.32%"
"[ 아무리 공기중이 시원하다고해도 차량내에 에어컨을 빵빵 틀어놓고 선풍기를 틀어놓는다해도 항상 등어리는 축축하게 땀이 차있고], 긍정 텍스트 확률 : 60.54%"
"[목 엉덩이 다리접히는 부분은 끈적끈적 땀에 젖어있어 피부가 연약한 아이들은 땀띠가 금방 나더라고요.이번에 우리 아기도 주말에 장거리여행을 했었는데 카시트와 유모차에 일반 유모차라이너 쿨시트위에 오래 앉아있다보니 땀띠가 온몸에 났었다고 언급했었는데 각별히 신경을 써야겠어요. ], 긍정 텍스트 확률 : 78.40%"
"[ 엄마따라 오늘도 역시 밖을 나왔어요.차에서 내리며 유모차를 펴는 동안 이모 옆에 잠시 누워있는데 땀을 뻘뻘 흘리는 모습이 내부가 에어컨을 틀었는데도 우리 아이에게는 이정도의 온도도 이렇게 땀이 줄줄 흘러내린답니다. 이런 모습을 보면 언능 부채질을 해주고싶은게 엄마 마음이잖아요.조금이라도 더우면 깰까봐.... 언능 이모보도 부채질을 해주라며 손으로 빨리빨리를 외쳐보지만 워낙 날씨가 더워 더운 바람에 시원한감도 없고], 긍정 텍스트 확률 : 99.88%"
"[언능 쿨시트를 유모차에 깔아줘야겠다는 생각뿐이였습니다. ], 긍정 텍스트 확률 : 54.78%"
"[ 열심히 볼일을 다 보고 아이도 지쳤는지 이제서야 낮잠이 들었는데 더워서 깰까봐 저는 조마조마했어요. 엄마도 이제 한숨 돌리는 유일한 휴식시간이라 아이가 깨면 모든게 상황종료되는 그런 상황이니 빨리빨리를 언급하며 유모차를 스피드로 펼치고 파파코코 쿨시트를 꺼내어 유모차 시트에 깔아주었습니다. ], 긍정 텍스트 확률 : 70.12%"
"[ 일반 쿨시트 장착할때처럼 쿨시트 가운데 뚫인 구멍으로 안전 벨트를 넣고 쿨시트에 달려있는 후크를 이용해 유모차에 흔들리지않게 고정을 한 후에전원 케이블과 보조배커리를 연결해주면 모든 준비는 완료보조배터리는 샤오미고속충전을 사용중이며이렇게 유모차 아래 바구니나 아이 옆에 살짝 놓아두면 됩니다. ], 긍정 텍스트 확률 : 93.16%"
"[ 땀이나 물기를 빠르게 흡수 배출할수 있도록 개발된매쉬원단 쿨시트 라 아이 무게에 바람길이 막히지않고 넓게 바람이 분산되고 순환되어 맞닿는 머리와 등뒷부분에 땀이 차지않아 아이가 깊은 수면을 잘수있도록 도와주는데요. 특히 이렇게 무더운 여름철 삐질삐질 땀을 흘리면 아이들은 깊은 잠을 자지못하고 칭얼대며 자주 잠에서 깨어 키 성장에도 많은영향을 주는데], 긍정 텍스트 확률 : 76.32%"
"[그래서 저는 아이에 먹는 습관도 중요하게 여기지만 자는 환경도 되도록이면 충분한 잠을 청할수 있도록 만들어주려하고있어요. ], 긍정 텍스트 확률 : 68.82%"
"[ 우리 아기 덥고 시끄러우면 예민해서 잘 못자는데 살짝 소음이 있지만 시끄러울 정도의 소음이 아니라 실외에서는 자연스럽게 소리가 묻혀 거의 들리지 않았어요. 기능성이다보니 좀 시끄러우면 어쩌지... 우려했지만 그 부분에서 참 다행스러운 일이죠. ], 긍정 텍스트 확률 : 61.37%"
"[ 폭신폭신 쿠션감이 있어 아기도 제 침대처럼 느껴졌는지 눕히자마자 살짝 주춤하더니 엄마 있는지 확인을 하고 편안한 자세로 다시 자리를 잡아 깊은 잠을 자기 시작하는데 이날 카페에 내리 시간은 있었는데 계속 꿀잠을 자서 어찌나 편했는지 몰라요 ㅎㅎㅎㅎ 그리고 생활방수가 가능해서 아이가 물이나 음료를 흘렸을때 툭툭 털어주면 되구요.약.중.강 가지 모드 로 조절이 가능해요. ], 긍정 텍스트 확률 : 99.01%"
"[ 뿐만아니라 시원한것도 좋지만 요즘같이 미세먼지가 불쑥불쑥 찾아오는 날 아이가 머무는 이 공간만큼은 초미세먼지까지 걸러주는 공기청정 헤파필터까지 장착되있으니 엄마마음은 안심이될수밖에요 ], 긍정 텍스트 확률 : 89.63%"
"[ 유모차를 신생아떄부터 태워와서 워낙 거부를 안하지만 날이 더워지면서 등어리에 땀이 차기시작하니 앉고 누워있는걸 거부하던 찰나에 엄마를 고생으로부터 잠시나마 안락의휴식을 취할수 있게 만들어준 고마운 유모차라이너 파파코코 공기청정 쿨시트.이렇게 장시간 유모차를 사용할때 사용하다가 장거리 여행에 차를 오래 타야될 경우 카시트에 장착하면 아이도 편안함을 느끼며 고생하지않고 여행을 즐길수 있을것 같네요. ], 긍정 텍스트 확률 : 77.74%"
"[덕분에 저는 저만의 조용한 시간을 갖을수 있었습니다. ], 긍정 텍스트 확률 : 56.90%"
"[ 제가 좋아하는 커피와 버터와 달달한 팥이 듬뿍 들어있는 앙버터를 먹으며 꿀같은 오후 휴식을 만끽한 날이였어요. ], 긍정 텍스트 확률 : 57.70%"
"[ 여름 휴가철 계획에 벌써부터 들떠있는중에 아이가 아직 어려 차에서 적응을 과연 해줄까.. 장거리여행은 이번이 처음이라 걱정부터 앞서던 중이였어요.하지만 이렇게 유모차에서 내리 꿀잠을 자는거보고 든든함을 느껴 그런 걱정이 싹 사라졌네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 97.67%"
"[ 우리 딸은 한쪽 다리를 이렇게 턱 올려놓고 자는 버릇이 있는게 이 자세가 본인이 굉장히 편할때 잠자는 모습이예요. 진짜 어쩜 이런것까지 아빠를 빼다 닮아... 하루종일 이상태로 잘 기세였는데 이날도 시간 넘게 앉아있다가 집에 가야될 시간이라 부랴부랴 유모차를 접고 카시트에 앉혔지만 쉽게 깨지않고 집까지 통잠을 자고 집에서 개운하게 일어났었어요. ], 긍정 텍스트 확률 : 83.17%"
"[제가 원하던 쿨시트를 알게되어 땀많은 우리 아이 선선한 가을까지 무난하게 사용할것 같네요. ], 긍정 텍스트 확률 : 94.90%"
"[ 기분좋게 온가족 모두 놀러나갔다가 아이가 분도 못자 울고불고 등은 축축하게 땀에 흠뻑 젖어있고], 긍정 텍스트 확률 : 82.91%"
"[ 특히 유모차보다 카시트가 목과 등어리에 땀이 많이 차 아이가 요즘 거부를 많이 했었는데 파파코코 쿨시트 깔아준 후부터는 원래대로 등을 들썩이지않고 편안한 자세로 앉아있어 그때부터 신뢰가 되었습니다.깔끔하고 고급스런 패키지로 선물용으로도 손색없던 카시트 유모차 모두 호환되는 유모차라이너 파파코코 쿨시트 리뷰 마쳐봅니다 ], 긍정 텍스트 확률 : 99.41%"
"[이제 여름이 다가오면서 날씨가 더워지니까열 많은 우리 콩이 군이 시원하게 해줬는데도자꾸 땀띠가 생기더라구요..밖에 나갔을 때도 우리 콩이군 더우면안되니까 장만한 유모차 선풍기 이건 사실 다낭 가기 바로 전에 주문해서다낭에 가져갔었거든요 우리나라도 더운데 지금 베트남은우리나라보다 더 덥잖아요....ㅠㅠ단 한개의 땀띠도 용납할 수 없다], 긍정 텍스트 확률 : 98.74%"
"[ 일단 구성품은 이렇게 되어있어요.유모차에 달 수 있는클립 선풍기와충전선 그리고 선풍기 파우치저렴하다고해서 좋지 않은 선풍기는 아니에요 예꼬맘 선풍기는 아가들의 안전을 위해인증도 받았다고 합니다. ], 긍정 텍스트 확률 : 51.86%"
"[ 제가 진짜 마음에 들었던 것 중 하나 저희 집은 아직 선풍기가 하나 밖에 없오요], 긍정 텍스트 확률 : 96.23%"
