"[ 이번주에도 어김없이 하이브리유모차꺼내들고 놀러갔다왔지용현재 승차하고 계신분은 우리집 둘째 두콩이너무 숙면하길레 집에서 지하주차장까지만 태웠어요 ], 긍정 텍스트 확률 : 63.31%"
"[와이업지니 등요즘휴대용유모차는핸들링이 전부 좋더라구요 ㅎㅎ휴대용인만큼 휴대성을 제일 먼저 강조해서인지핸들링 중 휘청하는 모습에 구매는 조금 미뤘었는데이번에 절충형같은 휴대용하이브리드 캐비플러스 유모차를추천받아개봉기부터 차근차근 써볼까 합니다 𖤐𖤐𖤐휴대용 유모차 골라주세요’후대용 유모차 추천해주세요’하는 글이 진짜 많은데...제가 휴대용 유모차 고르기에서 주안점을 둔 항목들 폴딩 시 얼마나 작은가 핸들링이 수월한가 폴딩언폴딩이 쉬운가 아기기 탔을 때 무게중심이 쉽게 기울거나 넘어지지 않는가 우리 아기가 좋아할 것인가..등이었는데], 긍정 텍스트 확률 : 95.19%"
"[ 예쁜 옆라인튼튼해보이면서도 가벼운 프레임과예쁜 휠이 눈에 띄는데요동급 최대 사이즈의 휠을 장착한 휴대용 유모차래요우리 아기가 돌아기치곤 작아서돌아기 휴대용 유모차를 고를 때 안정성을 중요시했는데뒷바퀴가 크니까 확실히 안정적이에요 ], 긍정 텍스트 확률 : 97.45%"
"[어떠세요?이 정도면 하루종일 할 수도 있겠더라구요 ㅋㅋㅋ폴딩 편한 휴대용유모차 추천해달라고 하면망설임없이 추천할 정도], 긍정 텍스트 확률 : 90.73%"
"[아기케어하기 바쁜 우리...폴딩과 언폴딩이 편한 휴대용 유모차를 골라야겠죠?핸들에 달린 레버를 우측으로 밀면서핸들을 위쪽으로 돌려주면폴딩언폴딩 준비는 끝난 거예요적당한 힘과 요령까지 더해지면 매우 쉬워요엄청 쉽고 간단해서 애 안고 한 손으로도 가능한데하이브리드 유모차는 높이가 꽤 있다보니키가 많이 작은 분들은 조금 어려울 수 있겠어요 ㅠㅠ키 인 제 기준으론유모차 전체 높이며 핸들 위치까지 딱 좋거든요많은 분들이 휴대용 유모차로 베이비젠요요를 추천해주세요근데 전 직접 요요를 끌어보니 제 키에 맞진 않았어요오히려 요렇게 높은 게 더 맞더라구용 ], 긍정 텍스트 확률 : 85.75%"
"[언폴딩 후 옆모습 캐노피 확장옆에서 보이는 프레임이 두꺼워보이고 뒷바퀴가 커서역시 안정적으로 서 있는 당당한 모습프레임도 무게분산이 잘 되도록 설계되었다고 해요 ], 긍정 텍스트 확률 : 98.56%"
"[중문 앞에서 찍어봤는데요휴대용 유모차라곤 믿기지 않을 정도로유모차 높이가 상당해요웬만한 휴대용 유모차는 시트가 거의 바닥에 붙어있어서앉히면 진짜 낮아지던데세상구경에 한창 심취할 때인 우리 돌아기는좀 높은 유모차를 좋아하더라구요], 긍정 텍스트 확률 : 54.04%"
"[역시 두툼한 앞바퀴는 인치구요일자로 주행하도록 고정시킬 수 있어요앞뒷바퀴 모두 독립된 서스펜션이 가능해서주행감], 긍정 텍스트 확률 : 79.38%"
"[핸들링좋은 휴대용 유모차 추천해달라고 하면망설임없이 추천할 수 있겠더라구요], 긍정 텍스트 확률 : 92.79%"
"[미세먼지가 걷히고 아기 컨디션이 괜찮아지면하이브리드 유모차와 외출할 생각에 설레네요], 긍정 텍스트 확률 : 77.20%"
"[다음 포스트에서 또 만나요], 긍정 텍스트 확률 : 75.53%"
"[제가 선택한 모델은 ], 긍정 텍스트 확률 : 59.98%"
"[ 브라운컬러의 인조가죽이 똭 예쁘다아이 때깔 좀 보소 ], 긍정 텍스트 확률 : 72.87%"
"[박스에서 유모차를 꺼내보니 손잡이도 ], 긍정 텍스트 확률 : 57.66%"
"[ 브라운 컬러 너무 예뽀 ㅎㅎㅎ ], 긍정 텍스트 확률 : 81.64%"
"[.?유모차추천유모차추천 ], 긍정 텍스트 확률 : 87.93%"
"[.?아기유모차추천아기유모차추천 ], 긍정 텍스트 확률 : 87.93%"
"[아기를 들여다 볼 수 있는], 긍정 텍스트 확률 : 57.97%"
"[메쉬형태 차양막 이 부분은 전 조금 아쉬웠어요. 살짝만 여닫을 수 있는 구조였으면 더 좋을듯이상 하이브리드 캐비플러스를 개봉해 보았는데요. 앞으로 여러번에 걸쳐 포스팅을 할 예정이니 기대하셔도 좋아요 ], 긍정 텍스트 확률 : 79.21%"
"[그럼 다음에 만나요 ], 긍정 텍스트 확률 : 56.60%"
"[본 포스팅은 하이브리드 클럽 기로 제품을 무상제공받아 솔직하게 작성한 후기입니다. ], 긍정 텍스트 확률 : 68.07%"
"[제가 좋아하는 그레이 색상으로 골랐는데], 긍정 텍스트 확률 : 91.00%"
"[사실 다 예뻐서 고르기 힘들었어요ㅋ 유모차가 편하고 활용도 좋아야 하지만], 긍정 텍스트 확률 : 90.48%"
"[디자인도 사실 빠질 수가 없더라구요. ], 긍정 텍스트 확률 : 50.82%"
"[일단 세워봐야해요. 휴대용은 말그대로 휴대용이 편리해야 하므로], 긍정 텍스트 확률 : 91.13%"
"[접었을 때가 상당히 중요해요. ], 긍정 텍스트 확률 : 61.12%"
"[휴대용 유모차는 설명서가 필요 없을정도로 간단하게 필요한 기능을 다 가지고 있지만], 긍정 텍스트 확률 : 84.86%"
"[유모차 처음 이용하시는 분들은 설명서를 보면 더 손쉽게 이용할 수 있겠지요 ], 긍정 텍스트 확률 : 55.13%"
"[유모차 보관가방이 함께 동봉되어 있어요. 별매 아니고 포함 제품이에요. 검정생에 하이브리드 라고 적혀 고급스럽고 가방이 있어 보관시 좋아요. ], 긍정 텍스트 확률 : 94.34%"
"[제가 디럭스 유모차보다 절충형 유모차를 좋아하는 이유는 바로], 긍정 텍스트 확률 : 65.28%"
"[혼자서 폴딩을 하기 편해서가 가장 큰 이유에요. 혼자서도 외출하는 경우가 생각보다 많은데 허리가 아파서 아기띠 보다는 거의 유모차를 이용하거든요. 쉽고 빠른 폴딩 캐비플러스. ], 긍정 텍스트 확률 : 99.58%"
"[단 풀캐노피메쉬 통풍창 통풍창은 지퍼로 닫았다가 필요에 따라 열어서 사용 할 수 있어요. 통풍도 잘 되어 좋치만], 긍정 텍스트 확률 : 67.55%"
"[아이의 상황이 너무 잘 보이는 창이라 더 좋아요. ], 긍정 텍스트 확률 : 96.96%"
"[영국을 대표하는 유모차 명가 그룹의 기술과 노하우로 탄생한 프리미엄 유모차], 긍정 텍스트 확률 : 52.47%"
"[장점을 보면 정해진 각도가 아니라 상황에 맞게 각도 조절을 할 수 있다는 점이구요. 등받이를 내릴때는 한손으로 버클을 누르고 살살살 내려주면 잘 손쉽게 내려져요. ], 긍정 텍스트 확률 : 55.03%"
"[유모차 가지고 다니면서 생각보다 장바구니가 중요해요. 아기를 데리고 다니기 때문에 짐을 들거나 따로 실을 수 있는걸 가지고 다니기 힘드니], 긍정 텍스트 확률 : 79.17%"
"[장바구니가 크면 아주 좋아요. 그런데 장바구니에 의문의 끈이 있어요. ], 긍정 텍스트 확률 : 64.23%"
"[유모차 접었을때 어깨에 멜 수 있는 끈이더라구요. 폴딩 후에 어깨 끈으로 메고 간편하게 이동이 가능해요. ], 긍정 텍스트 확률 : 76.05%"
"[가랑이 방향에서 아이를 감싸주는 안전벨트가 어린 아기에게도 안전하게 착용할 수 있어요. ], 긍정 텍스트 확률 : 53.91%"
"[가방 메듯이 메도 되구요. 버클을 열어서 팔 위아래에서 끼워도 되고], 긍정 텍스트 확률 : 50.19%"
"[편한 방식으로 하면 돼요. 그리고 나서 가랑이에 있는 벨트와 딸깍 잠궈주세요. ], 긍정 텍스트 확률 : 54.47%"
"[단 어깨끈 높이 조절이 되서 아이가 빠져 나오지 않도록 앉은키에 맞춰서 조절 할 수 있어요. ], 긍정 텍스트 확률 : 62.13%"
"[함께 받았던 유모차 보관주머니에 넣어봤어요. 보관하기 아주 좋아요.], 긍정 텍스트 확률 : 61.45%"
"[바구니 카시트 아직 쓰는 린군이에요. 누나가 쓰던 절충형 유모차가 있는데], 긍정 텍스트 확률 : 77.52%"
"[유모차 개봉기 사진 찍고 바로 외출했어요얼른 써보고 싶었거든요ㅋㅋㅋ그리고 날씨가 너무너무 좋았어요 ], 긍정 텍스트 확률 : 57.64%"
"[꽃도 이쁘고 유모차도 이쁘고착착이도 이쁘고안전바를 보더니.. ], 긍정 텍스트 확률 : 56.05%"
"[낮잠 시간이라 표정이 멍세상 편한 자세... 엄마도 캐비플러스 유모차에 앉고 싶다ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 89.53%"
"[날 좋으니 또 외출 자주 쓸 거라 트렁크 중간에 땋 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.32%"
"[저 쪼꼬미 아줌마인데 이런 느낌이네요 ㅋㅋㅋㅋㅋ디럭스만 몇 번 써보다 휴대용 들어보니 가볍 한 손으로 거뜬 ], 긍정 텍스트 확률 : 96.97%"
"[첫 시도다 보니까 실패한 듯 성공 이러고 있으니 신랑 웃고 난리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저도 웃고], 긍정 텍스트 확률 : 64.98%"
"[착착이도 웃고 웃음바다 ], 긍정 텍스트 확률 : 72.56%"
"[이 날은 엄마랑 둘이서 시내 구경 갔어요 원래 목적은 타요키즈카페인데], 긍정 텍스트 확률 : 79.03%"
"[매쉬창으로 본 착착이양 ㅋㅋㅋㅋㅋㅋㅋ이러고 놀고 있었네요 핸들 그립감 넘나 좋은 것 ], 긍정 텍스트 확률 : 96.79%"
"[구경거리 많아서 세상 신난 두 다리], 긍정 텍스트 확률 : 86.85%"
"[ 안녕하세요 헤링이에요 ], 긍정 텍스트 확률 : 95.06%"
"[ 오늘은 낮에 스타필드를 다녀왔는데요 물론 요런 평평하고 빤들빤들한 쇼핑몰에선 어느 유모차나 다 잘굴러가죠 근데 제가 달동안 다닌 곳은 거의 흙밭.. 자갈길], 긍정 텍스트 확률 : 80.38%"
"[울퉁불퉁한 길이 많았어요그런데에서도 정말 핸들링이 좋았어요 ], 긍정 텍스트 확률 : 79.12%"
"[ 전에 휴대용 유모차를 물려받은게 있어서 잠깐 태워봤는데 그때 정말 울고 불고 난리도 아니었거든요디럭스만 사용하던 때라 그런지훅 낮아진 높이며 편하지 않은 승차감에 아이도 멘붕이었던 것 같아요 사실 휴대용유모차 거부가 너무 심했어서다른 휴대용유모차는 거들떠도 안봤던 것도 사실이에요 ㅎㅎㅎ 근데 캐비플러스는 디럭스급 휴대용이라길래 설마? 했었는데 처음부터 정말 잘타더라구요거기에 제가 사용하던 디럭스 유모차는 높이가 높아서 그것도 좋았는데 잠깐 쓴 휴대용 유모차가 ㅋㅋ 높이가 훅 낮아져서 그런지 저도 허리를 숙이는데 너무 불편하고 ㅠㅠ 아기도 갑자기 너무 낯설어하고 그래서 더 울었는지 모르겠어요캐비플러스는 적당한 높이에 핸들링도 정말 편하고 특히 디럭스와 비교될만한건 폴딩이 너무 쉽고 간편하게 이동이 가능해서 너무 좋아요 ㅎㅎ], 긍정 텍스트 확률 : 94.88%"
"[ 그리고 장바구니특히 장바구니 공간이 큰 디럭스를 사용하다보니 디럭스에서도 장바구니 작은 모델 많긴 하지만 휴대용 유모차에 작디 작은 장바구니를 못견디겠더라구요 전 특히나 짐을 좀 바리바리 싸가지고 다니는 스타일이라ㅋㅋㅋ 이것저것 다 가지고 다니는데 아기보면서 가방까지 들면 후... 정말 정신 너무 없잖아요유모차 끌땐 모든 짐을 장바구니에때려 넣을 수 있을정도로 넉넉해서 ㅎㅎ 좋더라구요], 긍정 텍스트 확률 : 97.36%"
"[ 요건 잠깐 앉혀놓을때 안전벨트 없이 앉혀줬는데 언제 커서 티자형 안전바를 잡으려나 했는데 오늘 보니 딱 잡더라구요 ㅎㅎㅎ 신기하고 기특기특 ㅎㅎ이제 등받이를 최대로 높여주면요 안전바 잡고 두리번 두리번하면서 구경도 하고 그러려나요 ㅎㅎ], 긍정 텍스트 확률 : 99.25%"
"[ 마지막으로 ㅎㅎㅎ 세상 편한 자세로 떡뻥 드시는 동영상 보여드릴께요다음주에 제주도 여행 예정인데꼭 챙겨가서 편하게 여행하려구요휴대용유모차로 하이브리드 캐비플러스 추천합니다▼ 지금 런칭특가중이라고 하니 참고해주세요 ▼ ], 긍정 텍스트 확률 : 95.91%"
"[재료들 까지.. 그리고 마지막으로 젤 무거운 울애기까지 우리집 캐비플러스가 효자구먼 그려 ♥ ], 긍정 텍스트 확률 : 99.81%"
"[유모차 대씩 꼭 사야하나요?], 긍정 텍스트 확률 : 50.07%"
"[이런 질문들은 지금도 아마 맘카페에 수두룩 하게 올라오고 있을꺼에요..], 긍정 텍스트 확률 : 76.35%"
"[달밖에 안됬지만 벌써 해외여행까지 함께 다녀온 캐비플러스라 더욱 돈독해 진 것 같아요 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 78.55%"
"[였어요], 긍정 텍스트 확률 : 57.95%"
"[아이가 돌이 지났으니 구지 디럭스를 태우지 않아도 되겠다 싶어서 였죠], 긍정 텍스트 확률 : 76.65%"
"[이게 아이와 비슷한 시선에 있다가 낮아지만 괴리감이 엄청나더라구요.................................. ], 긍정 텍스트 확률 : 90.67%"
"[그리고 개인적으로폴딩이 그리 편하진 않았어요. 게다가 어마어마하게 작은 장바구니와.. 장바구니와 유모차사이 폭이 좁다보니 더 좁아지는 느낌 ㅜ.ㅜ], 긍정 텍스트 확률 : 90.94%"
"[라고 감히 말할수 있었습니다 ㅇ스토케저리가라 핸들링], 긍정 텍스트 확률 : 57.26%"
"[원터치폴딩], 긍정 텍스트 확률 : 52.23%"
"[젤 자랑할만한게 바로바로 요 뒷바퀴 앞바퀴보다 큼직한 사이즈로.. 왠만한 휴대용 윰차에서 볼수없는 바퀴 사이즈에요예전에는 몰랐는데 핸들링과 안정감을위해서는 요 바퀴가 옴총 중요하더라구요], 긍정 텍스트 확률 : 60.24%"
"[얼집갈때 기저귀랑 낮잠이불 챙겨가려고 유모차에 바리바리 싸들고 출바알전 블랙색상인데 디자인도 넘나 예쁘죵 달썼는데 벌써 년은 함께한 느낌인데요..그만큼 장점이 너무 많은 유모차라 오히려 단점찾기가 힘이드네요 ㅎㅎㅎ휴대용 유모차 고민말고 저처럼 과감하게 캐비플러스로 갈아타세요♥디럭스 없어도 도 불편한거 없네요 오히려 신세계], 긍정 텍스트 확률 : 99.04%"
"[패밀리카로 제격프리미어 하이브리드 직접 타보니], 긍정 텍스트 확률 : 66.62%"
"[나홀로 사는 싱글라이프], 긍정 텍스트 확률 : 78.65%"
"[혹은 커플만 이용한다면 차량의 크기가 큰 문제가 되지 않는다. 하지만 나아가 가족이 늘어나고 더 많은 짐을 실어야 하는 공간이 필요하다면 한번쯤 조금 더 큰 차량에 대한 고민을 하게 된다. 여기 가족과 출•퇴근 을 동시에 만족하기 위해 새롭게 차량을 구매한 한 유저가 있다. 그리고 그의 선택은프리미어 하이브리드이다.프리미어 하이브리드를 운행해보고 어떠한 부분이 마음에 들었는지 직접 들어보았다. ], 긍정 텍스트 확률 : 84.31%"
"[결혼 후 아이가 생기니주변에서“이제 타야지 ”라는 말을 정말 많이 합니다. 하지만 정말만이 정답일까요 ?출•퇴근용 패밀리카로프리미어 하이브리드는 어떨지직장인이자 육아빠인 제가가족들과 함께 꼼꼼히 살펴봤습니다. ], 긍정 텍스트 확률 : 57.31%"
"[먼저 제가 탄 프리미어는 . 하이브리드 시그니처 풀옵션입니다.디자인부터 살펴보니기존보다 커진 그릴이 먼저 눈에 들어옵니다.그릴을 타고 이어지는 헤드램프가 날렵하면서도 세련된 인상을 줍니다. ], 긍정 텍스트 확률 : 72.66%"
"[리어램프의 제트라인 그래픽과그 사이를 연결하는 라이팅 디자인이시선을 강하게 사로잡습니다.특히 ], 긍정 텍스트 확률 : 79.55%"
"[간격을 두고 점점 짧아지는 그래픽이자꾸만 눈이 가는 매력이 있습니다.], 긍정 텍스트 확률 : 79.74%"
"[패밀리카로 괜찮을까? ], 긍정 텍스트 확률 : 59.52%"
"[패밀리카로서 매력을 테스트해보려면역시 가족들의 의견이 중요합니다.아내와 아이 ], 긍정 텍스트 확률 : 94.56%"
"[장인어른까지 함께 탑승해보니일단 공간성 측면에서는 대만족이었습니다.모든 좌석이 무릎까지 넉넉합니다.골프백이개나 들어가는 트렁크도유모차 ], 긍정 텍스트 확률 : 95.98%"
"[그리고 제 마음에 쏙 들었던 또다른 기능은 바로 후측방 모니터 입니다.방향지시등을 켜면 사각지대를 완벽하게 커버할 수 있도록클러스터에 영상을 출력합니다.뭔가 가족의 안전을더 확실하게 보장받는 느낌을 줍니다.운전 능숙하면 이런 기능이 필요 없다생각하시겠지만 직접 사용해보면 그 차이를 알 수 있습니다. ], 긍정 텍스트 확률 : 99.84%"
"[차로 유지 보조 차로 이탈방지 보조등 기술 덕분에 마치 자율주행차를 타고 있는 느낌이었습니다.주말마다 가족과 나들이를 떠나는데 장거리 운전할 때 진짜 좋을 것 같습니다. ], 긍정 텍스트 확률 : 98.75%"
"[다음은 출퇴근용 차량을 찾는 분들의최대 관심사인 연비를 살펴봤습니다.프리미어 하이브리드의공인 복합연비는.입니다. 도심.], 긍정 텍스트 확률 : 70.31%"
"[스포츠로 바꿔가며 도심연비와 고속구간 연비를 측정해봤습니다 ], 긍정 텍스트 확률 : 59.30%"
"[마지막으로 모드입니다.유일하게 공인 연비보다 낮은 수치였으며고속도로에서 격차가 더 컸습니다.하지만 주행 모드의 특성을 고려하면매우 만족스러운 연비였습니다. ], 긍정 텍스트 확률 : 97.09%"
"[지금까지박일 ], 긍정 텍스트 확률 : 68.03%"
"[ 프리미어 하이브리드시승 후기를 전해드렸습니다. 이번 시승을 통해 패밀리카가 꼭일 필요는 없다는 걸 확신할 수 있었습니다.주행안전 기술 덕에 운전의 피로도 덜했고 실내 공간 뒷좌석 ], 긍정 텍스트 확률 : 87.70%"
"[ 연비 등을 중요하게 생각한다면 보다 나은 선택이 될 수 있을 것 같습니다. ], 긍정 텍스트 확률 : 83.41%"
"[이번프리미어 하이브리드를 직접 시승해 본 유저는 반드시 패밀리카는 여야 한다는 편견을 타파할 수 있었습니다.프리미어 하이브리드가 가진 고유의 장점은 분명한 매력을 지니고 있으며 이러한 매력은 충분히 패밀리카와 출퇴근용 차량 모두를 아우르고 있습니다. 아직프리미어 하이브리드의 진정한 매력을 느껴보지 못했다면 직접 한번 몰아보길 추천합니다.], 긍정 텍스트 확률 : 96.71%"
"[디자인 또한 너무 깔끔합니다 ], 긍정 텍스트 확률 : 76.88%"
"[엄지 손가락에 있는 스위차를 살짝땡긴 후 윗쪽으로 돌려주면서 땡겨주면 ], 긍정 텍스트 확률 : 58.43%"
"[너무나도 손쉽게 펴지는하이브리드캐비의 모습입니다진심 저희 부부가 원하던 사이즈에간편한까지 그리고 아이가 느끼는편함한 견고함까지 갖춘제품입니다. ], 긍정 텍스트 확률 : 98.68%"
"[딱봐도 견고해 보이지 않나요??가볍다고 무시하면 안됩니다.아이가 이용할꺼라 꼼꼼하게살폈는데 견고한 섀시때문에더욱 마음에 들더라고요 ], 긍정 텍스트 확률 : 94.61%"
"[저희 홍밤이 너무 편안해 합니다유모차라고는 넓은 스토케밖에 안타본 아이인데하이브리드캐비도 그만큼 편안한가봅니다.아이가 편안함을 느끼는 와이드시트가 장착되어 있어더욱 그렇게 느끼나 봅니다. ], 긍정 텍스트 확률 : 97.91%"
"[햇빛가리개 또한 여러단계의 조절이 되고방충설계까지 되어 있어 참 편하지요 ], 긍정 텍스트 확률 : 84.27%"
"[다시 한 번 이야기 하는 와이트시트역시 넓은게 좋습니다요 ], 긍정 텍스트 확률 : 98.39%"
"[동금 유모차 중 가장 튼튼하고 큰 바퀴다시 한번 말하지만 견고한 섀시뒷바퀴에는 쇼바까지아이가 정말 편안해 합니다제가 또 바퀴달린거 파는 일을 하는지라바퀴를 엄청 중요하게 생각하거든요 ], 긍정 텍스트 확률 : 98.51%"
"[엄마 혼자서도 가볍게 폴딩언폴딩이 가능하며너무 가벼워서 휴대성 또한 너무 좋습니다.그렇다고 견고하지 않냐??아닙니다오래간만에 마음에 드는휴대용유모차하이브리드캐비를 만나서 너무 좋습니다. ], 긍정 텍스트 확률 : 99.32%"
"[우리 아가는 아직 조그마해서쓰지는 않지만 쑥쑥크는 아이들조금만 더 크면 단으로 조절되는발 받침대도 참 유용할듯 합니다.견고한 휴대용유모차아니하이브리드 유모차하이브리드캐비 추천합니다해당업체로부터 무상제공 받아 실사용 후 솔직하게 작성된 후기 입니다. ], 긍정 텍스트 확률 : 50.03%"
"[전 엘베 없는 층에 살고 있어서 현관에 유모차를둘 수가 없고 층에 세워둬야 했는데요워낙 사람들이 많이 오가다 보니 금방 먼지가쌓여서 아이가 타야 하는데 위생이 늘 걱정그래서 집에서 가지고 내려가고 올라갈 수 있도록콤팩트하면서 가벼워야 했어요.], 긍정 텍스트 확률 : 75.47%"
"[또한 셀프 스탠딩이 되는지..현관에 두고 사용하는 경우에 접어서 세워두면자리 차지하지 않고 참 좋은데요셀프 스탠딩이 안되는 경우는 어딘가에 기대어두어야하고 넘어지면 바닥에 닿으니까 또 더러워지잖아요], 긍정 텍스트 확률 : 58.51%"
"[거기에 카페나 음식점에서도 생각보다 유모차가자리를 많이 차지하다 보니까 들어가기 불편할 때도콤팩트하게 접히고 세워둘 수 있어서 가족 외식도굉장히 편했어요], 긍정 텍스트 확률 : 92.08%"
"[또한 셀프 스탠딩이 되더라도 손잡이가 바닥을향하지 않는 제품이어야 깨끗하게 사용할 수 있어요.그런 점에서 하이브리드 유모차는 안성맞춤], 긍정 텍스트 확률 : 89.83%"
"[바구니에 어깨끈이 있기 때문에 메고 이동할 수있어서 그 점도 정말 좋아요.가끔 끈을 따로 가지고 다니면서 걸어야 하는제품들도 있더라고요. 그럼 정말 불편하죠.. 하이브리드 유모차는 엄마도 어깨에메고 다닐 수 있어서 아이와 둘만 외출할 수 있어요. ], 긍정 텍스트 확률 : 95.84%"
"[또 차에 싣기에도 좋은 크기라 이동이 편하죠카시트와 비교했을 때 오히려 더 작더라고요.트렁크가 큰 차이긴 하지만 작은 차에도 충분히실릴만한 크기라서 아주 좋아요 ], 긍정 텍스트 확률 : 96.84%"
"[사실 휴대가 쉽다는 것은 접고 펴는 것도 쉬워야한다는 걸 뜻하는데 하이브리드 캐비플러스는버튼을 옆으로 밀고 앞으로 돌려서 접고 펴기만하면 되니까 한 손으로도 충분히 쉽게 할 수 있고남녀노소 누구나 큰 힘을 들이지 않고도단 폴딩이 되기 때문에 너무 편해요. ], 긍정 텍스트 확률 : 99.23%"
"[이렇게 쉽게 접고 펼칠 수 있다 하더라도한 손으로 단 폴딩이 가능하지 않은 제품들이생각보다 많으니 꼭 폴딩이 편한지는 자세히제대로 알아보셔야 해요.이동과 수납이 편하기 위해 고르는 건데한번에가 아니라 두세 번 손이 가는지는 꼭확인을 하셔야 나중에 고생을 안 해요 ㅋㅋ ], 긍정 텍스트 확률 : 97.97%"
"[ 안전성휴대용 유모차를 끌어보신 분이라면 많이 느낄 텐데생각보다 덜컹거려요.아무래도 가볍기 때문에 바퀴가 지면에 닿으면서생기는 마찰이 생각보다 많이 전달되거든요.그렇기 때문에 개월 수가 얼마 되지 않은 아기들은피하는 이유가 이것 때문그리고 제가 어디선가 봤는데 유모차로 인한흔들림증후군도 꽤 심각하게 생각해야 하더라고요.그래서 유모차 라이너 등 보조가 되는 제품을사용하긴 하지만 그래도 제일 중요한 것은유모차가 충격을 흡수해줘야 한다는 것 ], 긍정 텍스트 확률 : 99.48%"
"[디럭스 바퀴 보신 적 있으세요? 바퀴 엄청 커요아무래도 안정감을 위해서인데 하이브리드는일반적인 앞바퀴 인치보다 뒷바퀴가 인치로 제작되어동급 유모차들 중에서는 최대 크기랍니다.또 네 바퀴 독립 충격 완화장치이기 때문에 안정감이 있어요지금 살고 있는 동네가 지하철 공사 때문에울퉁불퉁한 길이 꽤 많거든요확실히 흔들림이 많이 줄고 안정감이 있어서끄는 동안에도 팔에 힘이 많이 들어가지 않음을느낄 수 있었어요.확실히 안정감이 있으니 핸들링도 좋게 느껴지고요사실 외출하면 신랑이 매번 끌고 다니는데너무 좋아해요 ㅋㅋ확실히 편하다고핸들링 너무 괜찮다고 ], 긍정 텍스트 확률 : 99.35%"
"[벨트도 안전하지만 바가 있어요.많은 후기들을 보시면 알 수 있듯이 아이들이바를 그렇게 좋아한대요 ㅋㅋ사실 처음엔 오히려 불편하지 않을까 했는데아이도 딱 잡고 안정감을 느끼는 듯하고지금은 벨트 해도 잘 앉아있지만 좀 더 크면사실 벨트는 하지 않으려 하잖아요그럴 때 바가 있으면 좀 더 안전하죠 ], 긍정 텍스트 확률 : 87.34%"
"[ 바도 분리가 가능해요다리 받침대를 들어보면 버튼이 있는데 꾹 누르고바를 뽑아내면 된답니다. ], 긍정 텍스트 확률 : 63.61%"
"[ 또 좋은 점은 위로도 넉넉해요.캐노피를 닫아도 공간이 남으니까 큰 아이들도머리가 닿거나 할 염려 없겠더라고요어떤 제품은 머리가 닿아서 캐노피를 못 닫는다고 ㅋㅋ ], 긍정 텍스트 확률 : 63.51%"
"[ 각도 조절은 필수랍니다.최대한 세울 수 있고 눕힐 수 있는지.아이들은 클수록 눕는 걸 싫어하잖아요최대한 위로 올린 뒤 버클을 조이거나 아이가 어리거나졸려 할 때에는 버클을 풀어서 눕혀주면 되는데우리 아이도 졸릴 때쯤 눕혀놓으니까 엄청 잘 자요 ㅎ ], 긍정 텍스트 확률 : 99.81%"
"[ 큰 아이들은 사실 다리 받침대가 필요 없긴 한데우리 딸은 내려서 사용해도 되긴 하지만올려두는 게 더 안정감이 있더라고요.내려서 사용하면 신나는지 자기가 다리를 흔들어요 ㅋ단 다리받침으로 아이 다리 흔들림을 줄여줘서긴장과 피로를 줄여준대요.전 일직선으로 사용하고 있어요. ], 긍정 텍스트 확률 : 65.45%"
"[ 또 좋았던 건 다리 받침대가 꽤 넓어요다리 긴 아이도 충분히 펼치고 있을 수 있어요.그리고 다리 받침대 아래에 발 받침대가 있어서큰 아이들은 다리를 접고 발을 받칠 수 있으니실용적으로 사용할 수 있어요. ], 긍정 텍스트 확률 : 94.98%"
"[ 메쉬로 확장되는 캐노피라 통풍도 되고아이가 잘 있는지 확인도 할 수 있고무엇보다 벨크로가 아니라 지퍼라서 아이가 자더라도소음 없이 열고 닫을 수 있어요.또 풀캐노피라서 확실히 햇빛을 잘 가려주더라고요여름에 햇빛 때문에 캐노피를 최대한내리고 아이를 최대한 세워서 이동했음에도햇빛 차단이 안되는 제품들은 너무 아쉬웠는데지금은 앞이 안 보이니까 오히려 아이가 캐노피 밑으로고개를 숙여서 바깥 구경을 하더라고요 ㅋㅋ휴대용 유모차가 다 거기서 거기 같아도은근히 디테일이 다르기 때문에 이 부분이아쉽다고 하는 부분까지 참고하시면 선택하는데많은 도움이 되거든요하이브리드 캐비플러스는 휴대용이지만 절충형을결합한 유모차이기 때문에 장점이 많아서아이도 안전하게 타고 엄마도 피로감이 줄어서만족하며 사용 중이랍니다], 긍정 텍스트 확률 : 88.42%"
"[얼마전 추석때 여행가기전에 실제로도 사용을 해봐야 할 것 같아서밖에 가지고 외출을 해봤었는데요생각보다 승차감도 좋고], 긍정 텍스트 확률 : 93.59%"
"[아기는 다른 사람이 안아줬을때 ㅎㅎㅎ ], 긍정 텍스트 확률 : 81.69%"
"[ 하단엔 넓찍한 장바구니가 있어서여행중에 무겁게 가방을 들고 다니지 않아도될 것 같아 요것도 마음에 들었어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 92.29%"
"[ 아기를 안전하게 보호해주면서 쉽게 내렸다 태울 수 있는 자형 가드와 ], 긍정 텍스트 확률 : 77.55%"
