"[ 이제는 매트 없는 곳은 위험하네요..요리할때도... 화장실 갈때도...설치 안하려고 했지만결국 베이비룸 설치 결정], 긍정 텍스트 확률 : 65.95%"
"[소화제를 주었습니다. 주일 정도 지나니 다시 회복된 것 같아요 우유먹고 나면 꼭 분은 쏘서에 앉히거나 바운서에 눕혀서 소화를 시킵니다. 요즘 눕히면 과격하게 푸샵을 해서 별도로 관리해야 합니다. 에너지가 넘쳐요건강한 유니집안 분위기도 건강해집니다.], 긍정 텍스트 확률 : 99.77%"
"[ 은 이스라엘 장난감 브랜드 이더라구요아이 스스로 만지고 느끼면서 고정된 틀에서 벗어나 성장형 사고방식을 키울 수 있도록 도와주는오감발달 감성 토이 ], 긍정 텍스트 확률 : 93.78%"
"[전체적으로 이렇게 소리나요 ], 긍정 텍스트 확률 : 69.35%"
"[기존 유모차모빌들하고는 확실히 다르네요 ], 긍정 텍스트 확률 : 86.13%"
"[요 밴밧 플레이아치 모빌대가 ], 긍정 텍스트 확률 : 68.85%"
"[반 투명으로 되어있어요 ], 긍정 텍스트 확률 : 67.58%"
"[하나하나 무지하게 섬세합니다], 긍정 텍스트 확률 : 65.69%"
"[ 치발기가 달린 에어벌룬 정말 맑은 구슬소리가 나요 일반 구슬소리보다 이게 훨씬 좋아요 소리가 좋아서 저도모르게 자꾸 흔들게되는..ㅋㅋ요 밑에 치발기가 달려있는데 소람인 있는힘껏 팔 벌려 치발기 잡고 앞으로 확 당기더라구요 ㅋㅋㅋㅋ 힘쎈여자 ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.47%"
"[초보엄마들은 왠 거울? 엄마들 화장고치는 용인가? 싶겠지만 아기들이 거울 엄청 본다는거 아시나요? 아기체육관에도 거울있고 아기들 책에도 거울붙은게 꽤 있어요 다 이유가 있더라구요아기들이 거울을 보더라구요 ㅋㅋㅋ 심지어 보고 웃어요 ㅎㅎㅎㅎㅎㅎㅎ], 긍정 텍스트 확률 : 70.25%"
"[아기들 호기심을 자극하고 거울로 나를 발견하는 자아개념 형성에 좋을 햇님이에요 ㅎㅎ ], 긍정 텍스트 확률 : 97.22%"
"[얌전하길래 쳐다보니 어걸 어떻게 손으로 잡아 당겼는지 에어벌룬 밑에 치발기를 물고 빨고 씹고 난리가 났더라구요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래그래 잘하고 있어우리 소람이 밴밧 플레이아치 유모차모빌 적응 완료], 긍정 텍스트 확률 : 74.62%"
"[본 포스팅은 업체로부터 제품만을 무상제공받아 사용후 작성한 솔직후기 입니다. ], 긍정 텍스트 확률 : 56.22%"
"[설렘 주의 크리스마스 선물 추천], 긍정 텍스트 확률 : 79.58%"
"[남녀노소할 것 없이 크리스마스에는 설레고 들뜨는 마음을 감출 수 없죠. 더 기분 좋은 하루를 선사할 특별한 크리스마스 선물을 추천합니다 ], 긍정 텍스트 확률 : 85.80%"
"[우리 가족 건강 지킴이광동 의감녹용 ], 긍정 텍스트 확률 : 76.85%"
"[아이와 엄마의 건강을 생각한뉴트리맘 영양바 ], 긍정 텍스트 확률 : 76.96%"
"[년부터 년 이상 엄마와 아기의 영양을 연구해온 뉴트리시아. 최근 수유 중인 산모를 위한 영양 보조 간식인 뉴트리맘 영양바’를 국내에서 새롭게 출시했다. 식사로 채우기 어려운 영양소를 간편하게 보충할 수 있으며 특히 칼슘 흡수에 필요한 비타민 의 일 권장량을 함유해 큰 인기를 끌고 있다. 둘째를 출산한 방송인 김나영도 건강관리를 위해 챙겨 먹을 정도. 올해월 중순에는 닷컴에서 구매 혜택 이벤트가 진행되며 내년에는 임신부가 먹을 수 있는 영양바도 선보일 예정이다.문의뉴트리시아], 긍정 텍스트 확률 : 92.38%"
"[’ 친구의 출산 축하 선물을 고민하다가 수유를 하려면 영양 보충이 중요하겠다는 생각에 뉴트리맘 영양바를 골랐어요. 맛도 좋고 떨어진 기력도 보강할 수 있어 만족했다고 친구한테 연락을 받아 참 뿌듯했어요.], 긍정 텍스트 확률 : 94.93%"
"[’ 디즈니썸썸 스티커와 보드마카로 아이가 직접 놀이집을 꾸밀 수 있어 좋아해요. 집 모양도 정교해 가게놀이 등을 더욱 실감 나게 할 수 있어 시간 가는 줄 몰라요.], 긍정 텍스트 확률 : 95.08%"
"[상상력과 창의력을 높이는 장난감메가블럭 우리아기 첫블럭 빅빌딩백 ], 긍정 텍스트 확률 : 78.93%"
"[피셔프라이스의 자매 브랜드인 메가블럭은 북미 . 베이비블럭으로 손꼽힌다. 블럭놀이를 이제 막 시작한 아이를 위한 메가블럭 우리아기 첫블럭 빅빌딩백’은 안전을 고려해 면과 모서리는 둥글게 디자인하고 삼킬 수 없게 대형 크기로 만들었다. 블록 한 칸이 미만으로 제작되어 손힘이 약한 아이들도 손쉽게 조립하고 해체할 수 있으며 놀이를 반복할수록 눈과 손의 협응력뿐 아니라 상상력], 긍정 텍스트 확률 : 53.64%"
"[메가블럭 우리아기 첫블럭 빅빌딩백가지의 피스로 구성된 블록세트. 상상한 이미지를 다양한 모양의 블록으로 만드는 재미가 크다. 친환경 소재의 휴대용 가방이 함께 제공되어 보관이 용이하고 외출 시에도 휴대가 간편하다. 블루와 핑크 가지 색상이 있다. ], 긍정 텍스트 확률 : 85.06%"
"[’ 아이가 블록 쌓기에 푹 빠졌어요. 어른들도 함께 할 수 있어서 온 가족이 시간 날 때마다 이용해요. 아이들의 상상력을 무한대로 키워줄 수 있어 유용한 것 같아요.], 긍정 텍스트 확률 : 96.30%"
"[중 피부 보습 및 수분 손실 완화 효과가 있어 민감한 아기 피부를 순하게 보호해준다. ], 긍정 텍스트 확률 : 68.73%"
"[’ 물티슈로 아기의 엉덩이를 닦으면 피부가 빨개지고 건조해져서 속상했는데 범범크림을 바른 뒤부터 확실히 덜 건조하고 덜 빨게 지더라고요. 자극적이지 않아 꾸준히 발라주니 긁는 횟수도 많이 줄어서 만족해요.], 긍정 텍스트 확률 : 64.93%"
"[아이가 건강하게 자라길 바라는 마음으로 연구에 매진하는 깨끗한나라의 보솜이 리얼코튼’은 예민한 피부를 보송하게관 리해주는 기능이 탁월한 기저귀다. 흡수성·보온성·안전성이 뛰어난미국산 코튼을 함유한 안커버가 자극을 줄이고 트러블을 방지한다. 안심흡수 통로와 더블업 다리 밴드가 넘치거나 새지 않도록 빠르게 소변을 잡아줘 걷거나 기어 다니는 아이들에게 제격이다.문의깨끗한나라], 긍정 텍스트 확률 : 92.52%"
"[ 보솜이 리얼코튼도 에어커버를 적용해 안쪽에 갇힌 습기를 배출하고 공기가 원활하게 통하는 제품.순간흡수], 긍정 텍스트 확률 : 64.80%"
"[보송보송 역류케어의 단계 시스템을 갖춰 아이 엉덩이를 쾌적하게 만드는 효과가 뛰어나다. ], 긍정 텍스트 확률 : 60.91%"
"[놀이와 학습을 동시에브이텍 단계 스마트 러닝 붕붕카 ], 긍정 텍스트 확률 : 56.17%"
"[동물 등을 재미있게 익힐 수 있다.문의키보스], 긍정 텍스트 확률 : 96.99%"
"[’ 아이의 첫 번째 승용 완구로 선택했어요. 단순히 놀이만 하는 것이 아니라 숫자나 알파벳을 배우면서 놀 수 있어 일석이조예요. 돌 되기 전에 샀는데 세 살 때까지 사용할 수 있을 것 같아요.], 긍정 텍스트 확률 : 90.40%"
"[스타일리시함과 안전성을 모두 갖춘 유모차 브랜드로 유명한 잉글레시나. 새롭게 선보인 잉글레시나 앱티카 프리미엄 디럭스 유모차’는 소프트 서스펜션을 적용한 의 대형 하이엔드 휠로 충격을 흡수해 아이의 뇌 흔들림을 방지한다. 또한 멜란지 패브릭과 가지 컬러 프레임의 조화를 통해 고급스러운 스타일 연출을 가능케 한다. 색상은 아이스버그], 긍정 텍스트 확률 : 87.25%"
"[ 잉글레시나 앱티카 프리미엄 디럭스 유모차혼자 유모차를 몰고 나가도 시트를 분리하거나 방향을 바꿀 필요 없이 한 번에 접을 수 있어 편리하다. 에코 레더로 된 핸들바는 단계로 조절이 가능해 사용자의 키에 맞춰 편안하게 주행할 수 있다. ], 긍정 텍스트 확률 : 51.71%"
"[’ 앞바퀴에 자동 정렬 시스템을 탑재해 한 손으로도 부드럽고 쉽게 주행할 수 있어요. 서스펜션까지 적용해 충격을 흡수해주니 도로 상태가 좋지 않은 울퉁불퉁한 길에서도 아이가 편안하게 잠들 수 있어 좋아요.], 긍정 텍스트 확률 : 98.30%"
"[바른 먹거리의 첫 시작풀무원 베이비밀 이유식 ], 긍정 텍스트 확률 : 76.20%"
"[유기농 곡류 등 안전하고 바른 재료만을 사용해 믿고 먹일 수 있다. 업계 최초로 인증뿐 아니라 무균 클린룸 제조와 신선한 냉장 온도 유지 시스템을 갖춰 아이에게 항상 좋은 것만 주고 싶은 부모에게 해답을 제공한다.문의풀무원 베이비밀], 긍정 텍스트 확률 : 71.88%"
"[세트 스타일리스트], 긍정 텍스트 확률 : 62.26%"
"[ 범보의자와 스너그], 긍정 텍스트 확률 : 62.66%"
"[요즘 거울보기 놀이를 하고 있어요. 눈이 보이기 시작할 때쯤부터 거울을 자주 보여줘서 거울을 정말 잘 봐요아직은 거울 속의 아가가 누구인고 할거에요 ㅋㅋ저속의 아가는 누굴까 우리 이쁜이네 하면서 놀아줘요.. .. ], 긍정 텍스트 확률 : 99.51%"
"[월령별 놀이를 통해 아이의 발달에 도움을 주고 다양한 경험을 시켜주세요아이의 최고의 놀이는 양육자와의 놀이에요 ], 긍정 텍스트 확률 : 67.23%"
"[오늘도 햇님토이체육관으로 놀았어요.의자에 앉혀서 누르며 놀 수 있도록 해주었는데 발로 밀면서 자꾸 밀려나요 ㅠㅠ그래서 제 발로 열심히 잡아줘야해요 ㅋㅋ.. .. ], 긍정 텍스트 확률 : 70.34%"
"[점점 또랑또랑해져 가고 있는 구찌에요.아 그리고 구찌의 첫 유모차를 구매했어요 ], 긍정 텍스트 확률 : 51.18%"
"[페도라 로 구매했어요이것저것 알아보다가 지역장터에서 포장만 뜯은 새제품을 반값에 팔길래 중고로 업어왔어요.원래는 절충형이나 휴대용으로 구매할 예정이었어요.그런데 돌 전에는 최대한 안전한걸로 태우고 싶어서 무겁지만... 그거 감안할 생각으로 샀어요 ㅎㅎ아직은 집에서만 요리요리 끌고있어요.날씨가 풀리면 얼른 가지고 나가서 바깥에서 끌어보고 싶어요. 그 때 후기 들고 올게요.무거운거 빼면 아직까진집에서 태우지만... 참 좋아요스너그를 선물받았어요 ], 긍정 텍스트 확률 : 55.88%"
"[요즘 뒤집기를 시도중이에요. 그래서 체육관에 뉘어놔도 조금 놀다가 뒤직뒤직조금 놀다가 뒤직뒤직 들썩들썩장난감 휘적휘적하다가 뒤직뒤직 중이에요.설날이 한달 앞으로 다가왔어요.그래서 제가 태교로 만들어뒀던 한복을 입혀보았어요.앗... 그런데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ왜 자꾸 동자승같죠?저 모자 때문인걸까요 ....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ목탁하나 쥐어줘야할 것 같은 비쥬얼...ㅋㅋㅋ.. .. ], 긍정 텍스트 확률 : 98.15%"
"[ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이 사진도 저의 최애사진 중 하나..일 경이 지나면서 범보의자를 많이 사용하고 있어요.일 경 후반이 되니 조금 더 여유로움이 넘쳐나요.눈 내리던 어느 날 구찌가 뒤직뒤직 뒤집기를 시도 중이에요.제대로 첫 뒤집기를 한 날은 일이었지만], 긍정 텍스트 확률 : 99.37%"
"[이불에서 내려오면서 떼구르르 굴러서 뒤집기를 한거라 그 뒤 부터는 뒤집기를 제대로 못하더라구요.아직은 스스로 힘으로 성공 했다고 할 수 없죠 ㅠㅠ...그래도 진짜 열심히 뒤집기 시도 중이에요.누가 시키지도 않았고 가르쳐주지도 않았지만], 긍정 텍스트 확률 : 83.35%"
"[범보의자 스너그이거 고민하는 분들 많을 거에요. 저도 처음에 엄청 고민했었어요.범보의자는 주변 엄마에게 얻어서 사용 중이고], 긍정 텍스트 확률 : 90.30%"
"[스너그는 선물 받아서 사용 중이에요.범보의자는 생각보다 사용시기가 짧아요. 일 부터 지금까지일 경 . 잘 쓰고 있지만 아이가 허벅지가 커지거나체격이 큰 아이라면 더욱더 짧을 듯 해요. 그리고 외출 용으로 덜렁덜렁 가지고 다니기 편해요. 스너그는 탈부착이 가능하기 때문에 사용기간은 좀 더 길어요. 그러나 저 장난감 트레이 진짜 잘 떨어져요. 아이가 장난감 잡고 이리저리 흔들면 툭 하고 흡착판에서 떨어져요. 그리고 흡착판 자국까지 나요 그렇지만 디자인 정말 이쁘구요..일 경까지는 별로 흥미가 없었는데 지금은일 . 정말 잘 앉아서 장난감 잘 가지고 놀아요잘 떨어지지만요.... 외출용으로 가지고 다니기는 불편해요. 속의자가 고정되는게 아니라서 아이짐 챙기고 저 의자까지 챙기려면 불편하더라구요. 또한 트레이도 잘 떨어지구요....햇님토이체육관피셔프라이스체육관전 무조건 피셔프라이스요.햇님토이도 주변 엄마에게 얻었고], 긍정 텍스트 확률 : 99.47%"
"[굳이 표현하자면 이런 소리를 내는데아마 애미야 다 먹어간다 더 내놔라 로 해석됨..ㅋ그러나 더 주지 않는다 ], 긍정 텍스트 확률 : 75.58%"
"[햇님토이 아기체육관에 달린 개구리 가지고 노는중저거 분리도되고 저렇게 꽂아놓고 갖고놀수도 있는건데분리해놓으니 자꾸 개구리 먹다가 떨어뜨리면서 얼굴에 맞길래그냥 저렇게 꽂아놓고 가지고 놀게 했더니지 맘대로 안된다고 저러고 장난감을 줘패고있음사실 이제와서 밝히는거지만..ㅋㅋㅋㅋㅋㅋㅋ장난감 때리다가 팔 일으키는거 터득했다고 말 못함요즘 저 개구리를 너무 좋아라한다뭐 정확히 말하자면 어지껏 안가지고 놀던 장난감에 흥미가 생겼다솜솜이네 놀러갔을때 깜짝볼을 그렇게 좋아하더라그래서 우리도 깜짝볼 하나 장만해야하나 고민중이긴 하다고거 좀 신기하더라 지 혼자서 굴러댕기면서 소리나고또 가만있다가 갑자기 소리나서 시선끌기도하고 관종새기..ㅎ아직 다리가 짧아서 집에 사놓은보행기를 못 태우고있음ㅠㅠ그 보행기에 달린 핸들 겁나 좋아하는데 우리 아랑이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 다리가 짧아서 슬픈 아가여.. ], 긍정 텍스트 확률 : 94.98%"
"[물론 다른 보행기는 다리 닿는다아랑파파가 지인한테서 얻어 온 아가방 보행기는 잘 탐ㅋㅋㅋㅋㅋㅋ 움직이지 못한다는게 함정이지만..앉아서 굳은채로 그냥 엄마 구경만 하고있음 ], 긍정 텍스트 확률 : 86.39%"
"[실컷 놀다가 나갈때되니까 졸리다고 칭얼칭얼옷갈아입히고 부랴부랴 머리까지 묶음 이와중에..ㅋㅋㅋ ], 긍정 텍스트 확률 : 83.19%"
"[코감기가 아직 낫지 않았지만 그래도 간다. 친정으로왜냐하면 엄마년이 놀고싶기 때문이다..헿..카시트나 유모차를 별로 안 좋아하는 우리 아랑이왠일로 얌전하게 앉아서 있다 싶었더니자기 양말에 달린 키티랑 놀고있음..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 엄마의 안목이란..물론 내가 키티가 좋아서 그냥 산거지만그냥 키티는 무조건 사야하는거기에 산거지만그래도 아랑이가 좋아하니 다행이다 ], 긍정 텍스트 확률 : 50.57%"
"[ㅋㅋㅋㅋㅋㅋㅋ 애기데리고 이동한다는 것은 정말 세계여행가는 것 보다 힘들다는 걸 이번에 알았다일단은 짐이 많고 일이 많고 정신이 사납고그냥 집이 최고다 무조건 집순이가 최고다 ], 긍정 텍스트 확률 : 99.97%"
"[첫 날은 이월드 다녀오느라고 사진이 없..ㅎ..자고 일어나서 둘째날 아침아랑이 일어난 소리에 벌떡 일어나서 쫓아오는 나의 어린동생ㅋㅋㅋㅋㅋ이유식 먹이는거 자기가 해보고싶다더니야무지게 잘 먹이고 또 악착같이 받아먹는 우리 아랑이그리고 또 시작된 숟가락뺏기ㅋㅋㅋㅋ엄마의 손길이 아니라는걸 안걸까? 뺏기 시도함아마 이모가 어리다는걸 아는걸까..근데 그걸 또 힘으로 버텨내는 나의 어린동생ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웃긴데.. 웃질 못함 ], 긍정 텍스트 확률 : 99.77%"
"[셋째날 외할머니댁에 가는길엄마 아빠는 따로 차를 타고 이동하시는데나의 어린동생은 우리 차를 타겠다고 ], 긍정 텍스트 확률 : 95.72%"
"[다 놀았는지 엄마한테로 직진은 개뿔......ㅎ아직 기지 못하니까 그냥 회전함..ㅋㅋㅋㅋㅋㅋㅋ 제자리 돌기는 겁나 잘함아랑이한테 감기옮아서 훌쩍대면서 쓴 육아일기ㅠㅠ내가 옮았으니 아랑이는 곧 낫겠지?이거 기쁜소식이야 뭐 어쩐소식이야..ㅋㅋㅋㅋ감기걸렸는데도 데리고 나갔다고엄마년한테 복수하는걸까ㅇㅇ.. 그래도 지금 잘자주니까 좋다헤헤헿ㅎㅎ 엄마는 약먹고 빨리 나을게넌 엄마한테 감기줬으니까 내일 다 안나으면 죽어ㅇ ], 긍정 텍스트 확률 : 96.13%"
"[스타일 심플베이직], 긍정 텍스트 확률 : 62.26%"
"[ 문의하기 생활 소스 캐릭터아동식기 공개 이해 쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요특가상품은 조기 품점이 되니 유의바랍니다. ], 긍정 텍스트 확률 : 93.78%"
"[ 기준은 간병보조용품 큐브 의견은 슈트 탄산스포츠음료 해당 특가상품정보는 년 월 일시 분 기준입니다 ], 긍정 텍스트 확률 : 52.85%"
"[ 멘사추천학습게임 게이밍데스크탑 라떼용품 공부법 더 올인원 상품 상세정보와 구매후기를 확인하시려면아래 링크를 클릭하세요. ], 긍정 텍스트 확률 : 80.66%"
"[ ↓아래 내용는 실제 구매고객이 작성한 리뷰입니다↓ ], 긍정 텍스트 확률 : 84.95%"
"[ 게시일. 포스팅 시기에 따라 제품의 가격 및 재고의 변동이 있을수 있습니다. 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 86.49%"
"[ 렌터카 계약을 전기요매트 데코포장용품 보수용품 작성해야 전집세트 지속적으로 주방가구 심플베이직 휴대폰액세서리 유학이민 맨투맨후드티 배냇가운 금연용품 쿠팡체험단에 커플옷 견과건과 여행회화 악세서리 경영 환불의 펫티켓 창의력두뇌계발 천년만년 글작성 역사 안 돗자리코일매트 주니어카시트 대한민국소재 도미노 최신순 가정의료용품 좋다 마블런레일블록 그릇홈세트 선물세트키트 유아항균지퍼팩 상품들 이유식기 전체전체여성패션남성패션베이비패션 미술점토 러그카페트거실화 양면내의무무 도움 실내복 베이커리떡 구매했어요 체육대회운동회 등가 퇴치기 유아어린이 조명배경 홈데코 유아책장책꽂이 케어 제모슬리밍청결제 활동량과 젤리캐러멜 야구복 텀블러콜드컵 담요 덮개받침 확률도 노출제한 수신 복사용품라벨지 한방재료 키즈테이블웨어 측정측량도구 게이밍노트북 초점책헝겊책 골드박스 스킵 분유 작은곰보온내의블랙 드럼전용세제 잘못된 침해하는 조리도구 클렌징필링 보온보냉병 캐치볼원반던지기 화장대 예고 제휴업체의 안마찜질기 식품뷰티주방용품 의견으로 수산물선물세트 문의하기를 내륙버스여행 랭킹 청소용품 배관건축자재 유아동침구 머리무릎보호대 인간관계 물엿올리고당조청 음반 네일케어도구 깔창신발끈 컵소품 심플베이직쿠팡상품번호 유람선요트승선권 바이루체 있습니다 착용감 작성 찜솥들통 만화라이트노벨 옷걸이도어훅 고양이 유기농친환경 입을수있은거같아용 구름위에햇님 남아패션 제주렌터카 외출용품 밑져야 마카 보상합니다 헬멧보호대 고객님 모빌 목줄 일체 암벽등반 유아안전문 바디로션크림 맨투맨 신생아영아완구 모든 수영용품 인방송 스누피 구기종목 자동차트럭기차 아기인형유모차 도움이 다이어트미용 홈카페 공기청정기 모서리코너보호대 원예 건조기 손가락인형 포이 유무 장난감 이미지기타 통신판매업신고 김정 자동줄 접시플레이트 서울특별시 손난로발난로 테마소설 양면내의개구쟁이흰색 다음과 세제 수령 의류신발 인삼수삼장뇌삼 욕조 반품 기타견과류 젤네일 화장지생리대 스카프넥워머 회원님의 문학잡지 웨딩케어 탄산수 힘든육아에 욕실용품스킨케어 팝업 샐러드손질채소 머플러스카프숄 아주 쇼카드 워터파크스키 돼요 소지가 비데온수기 발레복발레용품 기타스크랩북 운영 원목교구가베 골프장갑잡화 청소주방세제 가장 오리발물갈퀴 두부콩나물 먼지제거클리너 아메리카사기타 읽고살걸 괌사이판기타 소품만들기 연유 학생사무용가구 정직한 생수 지금까지 허용되지 골프화 펜리필심 위생백비닐봉투 여성젠더 반짇고리세트 원불교 글수정 지브리 조소도예판화 맞지 유아용 서큘레이터 개인정보는 미끼떡밥루어 잔텀블러 물걸레청소기 가전가구커버 청소년 비누방울버블건 장갑 걸이집게캡 상품문의 가전디지털 채팅문의 욕실거울 주민번호 녹차홍차밀크티 샐러드볼시리얼볼 원두생두 삭제 다이어트식품 키튼 유아가구인테리어 실내대형완구 두뇌기억력 나침반망원경 게시물 작성된 건강액세서리 차량용충전기 전동칫솔살균기 홈패브릭 짱귀엽고 매트안전용품 샌들슬리퍼 슈퍼곡물 차량용거치대 아래 역사인물 코엔자임 법령에 전동차전동휠 요가필라테스 제주여행 모양펀치 한국철학 숯화분석부작 문발 소주사케막걸리잔 냄비프라이팬세트 두유 확인하여 커버력 디오라마재료 머니 바랍니다 여성가방 플라워치료 이미지 매트 코믹명랑만화 열은 미션오일 과자시리얼 양문형냉장고 기타채소 유아물티슈 건강관리 과일선물세트 장난감훈련용품 쿠키파이 정기배송 속옷언더레이어 아기돌보기놀이 자제하려고해요 여성 개의 냉장고 구매옵션 출시년월 가능 애니메이션 창업취업은퇴 부여되고 마트장보기 멀티탭연장선 드라마만화 남성스포츠의류 바로 문학 기본 낚시 후기좀 충전기 믹서기블렌더 우수 계단펫스텝 정보에 커피음료차음료 성인기저귀패드 치발기 캐시적립 책임자와 주방수납잡화 폼블럭타일벽돌 난방텐트 사항은 빠샤메카드 목장갑안전장갑 수건타월 등의 고객에게 블라인드쉐이드 우리조카 멸균우유 야외가구 클로렐라 테니스화 루돌프 특수저장용기 양념식재료 안전표지경고등 스타일양면내의아기곰 삼가해주시기 넥카라 상세한 저장장치배터리 모래놀이 재활운동기구 남아용 선택하신 천장등벽등 연료필터 작성자에게 건강식품 개인정보주민번호 유아놀이방매트 스포츠오락 한정적이라 샤워입욕용품 살충제벌레약 남녀캐주얼가방 소프트블록 스밋코구라시 장바구니 식기세척건조기 배냇저고리 배터리충전케이블 유아동물병주머니 화장솜면봉 정비용품 문제가 캡슐시트세제 입히게되는 구명조끼튜브 점핑볼 테마여행 칠판보드게시판 사과즙포도즙 유제품가정배달 로스터그라인더 욕설 농구 네일 전기포트 출산유아동 인문사회경제 외출할 상품의 자기계발 사업자 디지털사무기기 소설에세이시 마이크레코딩 타월스펀지 수고가 붓 캐릭터마술타로카드 카카오프렌즈 캐릭터애니메이션 이유식조리보관용기 위해 논술대비 루테인 효소 거울 클래식체크슈트 페인트 치약 유아스포츠의류 요청 제보하는 탁상용가전 콩팥보리 전통과자떡 자전거의류 효과에 친환경천연세제 블랙앤화이트 주기적으로 위반되는 토이 크기 기획시간관리 대한통운 전연령용 압축팩커버 하우스울타리 종이인형코디북 인식표목걸이 칼가위도마 지도지리 미니언즈 치약칫솔 징코 행주 로드샵 한국고대고려사 비타 서울시 배송교환반품 공예 층 여성향수 관련하여 문콕방지몰딩 퍼즐액세서리 건조간식육포 냉풍기 전화기무전기 재시도 탁구 원칙 아쿠아슈즈 커큐민 미니카 식탁보테이블매트 대한민국 무알콜맥주칵테일 캘리그라피 오버나이트 철분 색상계열 비공개 가습기에어워셔 유모차웨건 고시 등으로 보온보냉텀블러 아크릴꽂이집게 남성스킨케어 완구부품 아기모니터 원두커피 부탁드립니다 선택사항 상품상세 워킹 침구커버 한복한복소품 뽀로로 멸치천연조미료 빨대스트로우 패키지여행 비슷해요 곰세마리 러그카페트 성에김서림방지 상품을 보온보냉주전자 그 남성 스마트워치밴드 과일 축구화 유아워시샴푸 유니폼 에비츄 소비자 어차피 유의해주세요 아기세제 등산아웃도어 됨 ], 긍정 텍스트 확률 : 67.64%"
"[안녕하세요 우리 아가 어느덧 일이 넘어 가고 있네요일이 지나면서 촬영 하러 처음 밖에 나갔고그 뒤로 아기띠 하고는 종종 나갔는데유모차 개시는 아직 안했었어요이제는 정말 아가가 유모차 적응도 할겸 유모차 타고 나가보자 싶어서집 앞에 산책을 나갔다 왔어요], 긍정 텍스트 확률 : 50.94%"
"[그러다가 생각이 났어요임신하고서 유모차 지나가는게눈에 계속 들어와서 유심히 봤었거든요유모차에 뭔가 주렁주렁 매달려 있던모빌이 ], 긍정 텍스트 확률 : 90.31%"
"[ 인지발달 능력을 기른다고 하네요벤밧토이 또한 고정된 틀에서 벗어나성장형 발달과정을 도와주는], 긍정 텍스트 확률 : 74.36%"
"[ 오감발달 감성토이예요제 교육모토도 아가의 창의력을 길러줘서 스스로 사고하는 방향으로 자라게 하고 싶거든요 그래서 더더 기대되는 모빌이었어요 . ], 긍정 텍스트 확률 : 78.74%"
"[알록달록한 모빌이 너무 이뻤어요아가들이 좋아하겠다 싶더라구요], 긍정 텍스트 확률 : 85.13%"
"[배송중 제품이 손상되지 않게꼼꼼하게 잘 고정되어 있어요조심조심 하나하나 뜯어 줍니다], 긍정 텍스트 확률 : 68.03%"
"[아치 모양의 지지대도 파랑 분홍 노랑 연두로아가의 시각을 사로잡겠더라구요개월이 지나면서 아가들이 컬러를 인식하기 시작하기 때문에 이제 일 넘어가는 우리아가가 정말 좋아할 것 같았어요], 긍정 텍스트 확률 : 86.06%"
"[그리고 반대편은흑백으로 되어 있답니다 .신생아 때는 아이의 시각이 완성되지 않아서흑백만 구별할 수 있는데요그런 아가들을 위해 흑백으로 포인트를 줬네요흑백 모빌을 통해 아이들 초점도 잡을 수 있고시각 발달도 도와줄수 있어요 ], 긍정 텍스트 확률 : 66.43%"
"[ 열기구 모양 모빌인데요밑에 부분 고리를 잡고 흔들면 방울 소리가 나요], 긍정 텍스트 확률 : 56.85%"
"[그리고 ], 긍정 텍스트 확률 : 70.21%"
"[ 모빌 밑 부분에 고정할 수 있는 장치가 있어요위에 둥근 부분을 돌려주면 아래 집게 부분이열리고 닫힌답니다], 긍정 텍스트 확률 : 84.17%"
"[고무로 되어 있어서 유모차에 장착할 때 미끄러지지 않고 고정이 잘 되겠더라구요], 긍정 텍스트 확률 : 71.24%"
"[ 유모차 안전바에 달아 보았어요 고무패킹 부분이 자유자재로 움직여서 아가 눈높이에 맞게 필요한 부분에 달면 되어요 달아놓기만 했는데도 든든하네요 ], 긍정 텍스트 확률 : 58.03%"
"[ 아가를 태워 봤어요엄청 집중해서 잘 보더라구요.예전에는 유모차만 타면 두주먹 불끈 쥐고 시선은 허공을 향해 두려움에 떨고 있었는데ㅎ유모차 모빌을 뚫어져라 이것저것 쳐다보니 이제 외출 걱정이 없다는이거 정말 꿀 아이템이에요], 긍정 텍스트 확률 : 63.07%"
