"[.펍지주식회사가 전 세계 배틀그라운드 팬들의 뜨거운 관심과 성원 속에 주간 펼쳐진펍지 글로벌 챔피언십 ], 긍정 텍스트 확률 : 92.96%"
"[게임 프로그래머는 평생 공부하는 직업이라 생각한다는 말씀도 남겨주셨는데], 긍정 텍스트 확률 : 70.17%"
"[또게임프로그래밍학원을통해꿈을이루시는분들], 긍정 텍스트 확률 : 91.50%"
"[유투브게임학원채널쥬신게임아카데미에서전과정모든학생들의작품을보실수있습니다. .... ], 긍정 텍스트 확률 : 92.34%"
"[엑스박스원과 플레이스테이션 등 매칭], 긍정 텍스트 확률 : 60.45%"
"[펍지주식회사대표 김창한가 배틀그라운드 콘솔 라이브 서버에 . 업데이트 및 크로스 플랫폼 플레이를 적용했다고 밝혔다.크로스 플랫폼 플레이를 통해 엑스박스원 과 플레이스테이션 유저들은 플랫폼 구분 없이 같은 매치 메이킹 풀에 매칭되어 배틀그라운드를 플레이 할 수 있게 됐다.또한 이번 콘솔 . 업데이트로 신규 성장형 시스템 생존 마스터리 를 적용했다. 유저들은 각 매치에서 자신의 생존 스킬을 확인하며 생존에 대한 보상을 받을 수 있고 각 플레이에 대한 상세한 리뷰를 통해 자신뿐만 아니라 팀원들의 전투 상황을 확인할 수 있다.성과를 다른 유저들에게 보여줄 수 있는도 추가됐다.에 표시되는 네임 플레이트와 엠블럼], 긍정 텍스트 확률 : 92.95%"
"[포즈 등을 커스터마이징 할 수 있다.한편 신규 총기인 펌프식 더블배럴 산탄총 도 등장한다. 보급 상자를 통해서만 지급되며 최대 발 장전], 긍정 텍스트 확률 : 68.45%"
"[초당 발을 발사해 매치 후반 근접전에서 유용한 총기다. 이외에도 다양한 업데이트와 버그 수정이 반영됐다. ], 긍정 텍스트 확률 : 74.24%"
"[ 사무용가구판매까지원스톱으로제공합니다.업계최고수준의실무팀이직접기획설계와시공을맡은], 긍정 텍스트 확률 : 75.84%"
"[ 알스퀘어의사무실인테리어디자인프로젝트를소개합니다. .?알스퀘어디자인알스퀘어디자인에서사무실인테리어를상담해보세요.], 긍정 텍스트 확률 : 89.82%"
"[의사무실을알스퀘어가찾아드리고], 긍정 텍스트 확률 : 87.84%"
"[ 인테리어디자인과설계], 긍정 텍스트 확률 : 66.54%"
"[ 혁신적이고창의적인게임회사의사무실인테리어를통해그들이일하는방식을알아봅니다.펍지가일하는공간이야기를지금들려드립니다], 긍정 텍스트 확률 : 69.61%"
"[ 더욱능률이오른다고합니다. ], 긍정 텍스트 확률 : 85.91%"
"[ 펍지의사무실은개인이최상의업무퍼포먼스를내고나아가회사의성장을지향하는것을목표로], 긍정 텍스트 확률 : 69.90%"
"[개인독립업무공간], 긍정 텍스트 확률 : 55.99%"
"[ 얼굴을마주하고일하는배치에비하여], 긍정 텍스트 확률 : 81.22%"
"[ 시선 교차가자연스레일어나소통을증진하는효과가있습니다.게임회사가갖는자유분방한분위기를정형적이지않은배치를통해연출했습니다. ], 긍정 텍스트 확률 : 74.94%"
"[같은자세로장시간일을하다보면], 긍정 텍스트 확률 : 52.03%"
"[ 건강에도해롭고무엇보다업무능률이떨어질수있습니다.본인의신체에맞는높이에서쾌적하게일하세요.높이 조절책상은퍼시스인에이블모션 데스크 로], 긍정 텍스트 확률 : 59.98%"
"[집중업무공간으로도활용할수있고], 긍정 텍스트 확률 : 57.24%"
"[ 회의공간으로도활용할수있는공간입니다. ], 긍정 텍스트 확률 : 65.47%"
"[교육과강의], 긍정 텍스트 확률 : 66.54%"
"[ 외부아웃소싱인력의보조업무공간으로도사용하고회의실로도사용하는다목적공간입니다.책상과의자에모두바퀴가달려있어자유로운배치가가능하고], 긍정 텍스트 확률 : 70.11%"
"[ 책상과의자를접을수있어공간을가변적으로활용할수있습니다.공간활용도와직원만족도가높은공간입니다. ], 긍정 텍스트 확률 : 87.78%"
"[ 동료와조금더캐주얼하게이야기를나눌수있는라운지공간입니다.], 긍정 텍스트 확률 : 81.37%"
"[ 층과층을잇는커다란나무계단이돋보입니다.사용인원이많아개 층을사용하는데], 긍정 텍스트 확률 : 86.09%"
"[ 엘리베이터와건물 비상계단을오가며발생하는커뮤니케이션비용을줄여구성원의소통이원활하게하자는알스퀘어의제안으로설계했습니다.나무계단에는시팅 패드를얹어], 긍정 텍스트 확률 : 52.52%"
"[ 편하게앉을수있습니다.전직원이라운지에모이는타운홀 미팅같은대규모의회의용으로도이공간을활용할수있습니다.], 긍정 텍스트 확률 : 84.99%"
"[ 집중 업무공간], 긍정 텍스트 확률 : 54.91%"
"[ 휴식공간외다용도로활용이가능합니다. ], 긍정 텍스트 확률 : 55.05%"
"[ 간단한식음료를즐기며재충전이가능한카페테리아공간입니다. ], 긍정 텍스트 확률 : 89.70%"
"[ 잠시사무실을벗어나 카페에서일하는기분을회사내에서도느낄수있습니다. 카페테리아의바 는바 스툴 과테이블상판], 긍정 텍스트 확률 : 82.94%"
"[ 졸음을참으며일하는것보다], 긍정 텍스트 확률 : 51.46%"
"[ 잠시쉬며재충전한뒤에다시업무를보게되면], 긍정 텍스트 확률 : 81.67%"
"[ 업무 효율이더높아집니다.휴식을취할수있는공간을살펴보겠습니다. ], 긍정 텍스트 확률 : 55.86%"
"[ 철재 계단뒤쪽의죽은공간을휴게공간으로활용했습니다.패브릭과가죽소재소파로아늑한느낌을주는휴게공간입니다. ], 긍정 텍스트 확률 : 63.41%"
"[디자인 요소 소개], 긍정 텍스트 확률 : 61.70%"
"[ 노출 천장과노출형바닥을통해깔끔하게다듬어진인더스트리얼스타일을연출했습니다. 메시와프레임의금속 재질마감과 바닥의나무마감이조화를이루어밝고편안한느낌을줍니다. ], 긍정 텍스트 확률 : 72.58%"
"[ 통일감을위해사용한나무와프레임이차분해단조롭고지루해지지않도록], 긍정 텍스트 확률 : 52.55%"
"[ 패턴타일을벽면에사용해공간에생동감을주었습니다. ], 긍정 텍스트 확률 : 61.42%"
"[ 회사로고와사이니지를라운지곳곳에설치했습니다.임직원인터뷰때에도유용하게활용하고있으며], 긍정 텍스트 확률 : 54.60%"
"[ 다른 디자인의 테이블과 의자로 구성되어 일하는 공간을 자유로이 선택할 수 있는 배틀그라운드의 개발사], 긍정 텍스트 확률 : 92.40%"
"[펍지의 사무실 인테리어를 함께 보셨습니다. ], 긍정 텍스트 확률 : 65.81%"
"[지금 보시는 펍지 주식회사 같은 사무실 인테리어를 상담받고 싶으시다면], 긍정 텍스트 확률 : 63.90%"
"[사무용 가구 구매까지 경제적으로 한 번에 해결하실 수 있습니다.알스퀘어에서 더 나은 사무 환경을 상담해보세요 ], 긍정 텍스트 확률 : 92.18%"
"[알스퀘어디자인], 긍정 텍스트 확률 : 82.85%"
"[배틀그라운드 공식 굿즈 마켓에서 판매], 긍정 텍스트 확률 : 92.52%"
"[펍지주식회사가 파트너사인 슈퍼플레이와 함께 플레이어언노운스 배틀그라운드 이하 배틀그라운드 ’공식 굿즈를 제작해 판매한다 . 마켓을 통해 공개하는 이번 배틀그라운드 공식 굿즈는 총 종으로 ], 긍정 텍스트 확률 : 76.78%"
"[일까지 마켓 슈퍼 브랜드딜을 통해 굿즈 할인 판매를 진행한다 . 마켓에서 보급상자 패키지를 구매한 선착순 ], 긍정 텍스트 확률 : 83.91%"
"[ 갠소 패키지 만 천 원으로 구성되어 있다 .피크닉 패키지는 나들이 시 유용하게 사용할 수 있는 굿즈인에란겔 피크닉 매트 ], 긍정 텍스트 확률 : 90.00%"
"[ 에너지드링크 텀블러로 구성됐다 .배틀그라운드를 함께 즐기는 친구 및 연인을 위한 커플 패키지 ’는 로고 스냅백 또는 티셔츠 중 하나를 개씩 제공한다 . 갠소 패키지 ’는 일상생활에서도 사용할 수 있는 패키지로 장마우스패드 ], 긍정 텍스트 확률 : 51.71%"
"[ 선착순 명 한정으로 티셔츠를 원에 구입할 수 있다 .박인혁펍지주식회사 ], 긍정 텍스트 확률 : 71.26%"
"[안녕하세요한량 늬우스입니다. ], 긍정 텍스트 확률 : 67.77%"
"[총을 잘 쏘는 법], 긍정 텍스트 확률 : 51.68%"
"[아이템들에 대해서 알려주고 있다. 배틀그라운드가 조작 방법이나 플레이하는 것이 쉬운편이 아닌지라], 긍정 텍스트 확률 : 67.32%"
"[다양한 아이템을 먹는 재미도 카카오배틀그라운드를 하는 재미중 하나라고 생각한다. 물론], 긍정 텍스트 확률 : 78.26%"
"[정말 운이 없지 않는 이상 위 안에는 꼭 들어가는 것 같다. ], 긍정 텍스트 확률 : 78.10%"
"[적과의 에서 살아남기], 긍정 텍스트 확률 : 75.20%"
"[ 라는 공략을 분명 나는 살펴보았다.상황이 와도 난 당황하지 않고 무빙을 통해 적을 섬멸하겠다고 다짐했다. ], 긍정 텍스트 확률 : 86.15%"
"[를 이용한 사격에 컨 까지 학습하고 적을 만나면 그렇게 꼭 제압해 보겠다 수도 없이 다짐해 보지만 ], 긍정 텍스트 확률 : 77.13%"
"[막상 적을 만나게 되면 ], 긍정 텍스트 확률 : 76.05%"
"[다시 보고 또 봐도], 긍정 텍스트 확률 : 96.38%"
"[당황해서 난사하는 모습을 볼 수 있다. 나만 그런 거면 어찌 이해해 보겠지만], 긍정 텍스트 확률 : 74.19%"
"[상대도 나도 여기서 이렇게 만날 거라는 생각을 해본 것 같지 않은 것 같다. 순간 요동치는 심장박동에 나도 모르게 아드레날린이 마구 샘솟지만 주변에 또 누군가 있을까 봐 경계를 늦추지 않는다. 이 재미에 카카오배틀그라운드 하는 게 아닌가 싶다. ], 긍정 텍스트 확률 : 95.40%"
"[당황한 나머지 시점에 따라서 적을 제압하려고 하는 것을 볼 수 있다. 그저 안타까울 뿐이다. ], 긍정 텍스트 확률 : 65.98%"
"[오른쪽 나름 스텝을 밟아 가면서 발 만에 킬을 올렸다. 에버모어가 이렇게 말했죠? ], 긍정 텍스트 확률 : 79.00%"
"[ 고급 스킬만 알아도 하루에 치킨 마리는 먹을 수 있다고 말이죠 일단 필자는상황에서 당황하지 않고 배었던 스킬들을 활용하는 연습을 해야 할 것 같다. ], 긍정 텍스트 확률 : 65.29%"
"[조심스럽게 한 땀 한 땀 가는 스타일이라 생존은 오랫동안 하는데 경기 구역이 제한됩니다], 긍정 텍스트 확률 : 53.92%"
"[긴장이 흐른다. 키를 눌러 시간 안에 갈 수 있겠지? 막판에 뛰면 그래도 좀 안전할까? 빨리 움직여야 할까? 별의별 생각이 들지만 결국은. 움직여야 한다는 사실 ], 긍정 텍스트 확률 : 58.32%"
"[완벽할 수 없고 많은 연습을 통해 솔로], 긍정 텍스트 확률 : 97.69%"
"[스쿼드까지 게임을 즐기면서 노하우를 축적해야 하는 게임이 아닌가 싶다. ], 긍정 텍스트 확률 : 55.79%"
"[어떻게 죽었는지 데스캠을 통해서 나를 분석하고 상대의 멋진 하이라이트 영상을 보는 재미도 쏠쏠하다. 현재 카카오배틀그라운드 서버는 최적화가 잘 되어 있어 렉 발생도 현저히 적고], 긍정 텍스트 확률 : 90.31%"
"[ 유저도 상당히 많다.그런지 많은 스트리머들이 스팀에서 넘어오기 때문에 대부분 영상들 보면 카카오 서버다. 그중에서도 핵 유저가 많이 없어진 것이 가장 큰 핵심이지 않을까 싶다. 사막 맵 업데이트 이후 맹 연습 중에 있으니 다음 리뷰 때는 연습을 통한 팁과 공략을 알려드리도록 노력해 보겠다. ], 긍정 텍스트 확률 : 83.81%"
"[현재원티드를통해인재를채용하고있습니다.], 긍정 텍스트 확률 : 50.03%"
"[년에설립된펍지주식회사는블루홀의자회사로], 긍정 텍스트 확률 : 55.71%"
"[ 플레이어언노운스배틀그라운드를개발하여전세계지역에서비스하고있습니다.플레이어언노운스배틀그라운드는배틀로얄장르를선두하는게임으로써출시직후전세계유저들의폭발적인호응과함께각종세계신기록을세우는등글로벌시장과각종커뮤니티에서인정받고있습니다. 우리가가는길이한국게임의새로운역사가되리라기대하며와함께걸어갈분들을기다립니다.], 긍정 텍스트 확률 : 96.08%"
"[•사내식당내중], 긍정 텍스트 확률 : 80.97%"
"[ 게임룸등이완비된휴게공간제공 •직원주차및용인분당출근버스지원 •오후시이후야근택시비전액지원이지만빠른귀가를권장드립니다 •전직원해외출장비행시비즈니스석업그레이드지원시간이상비행에한함], 긍정 텍스트 확률 : 83.77%"
"[•임직원본인과배우자], 긍정 텍스트 확률 : 77.46%"
"[ 대상자에한함 •연회전직원인센티브트립제공], 긍정 텍스트 확률 : 50.16%"
"[ 채용중포지션], 긍정 텍스트 확률 : 70.24%"
"[원티드통해이직하면 추천인과 합격자], 긍정 텍스트 확률 : 73.47%"
"[의보상금], 긍정 텍스트 확률 : 71.60%"
"[을받을수있습니다.], 긍정 텍스트 확률 : 74.68%"
"[펍지에어울리는지인을추천만해도합격시보상금지급], 긍정 텍스트 확률 : 75.78%"
"[추천을받고지원하면합격률이], 긍정 텍스트 확률 : 79.58%"
"[더크다고해요.], 긍정 텍스트 확률 : 61.77%"
"[ .. 추천 요청하는 법 .. 추천하는 법 ], 긍정 텍스트 확률 : 95.91%"
"[ ...? 원티드 추천 바로 가기], 긍정 텍스트 확률 : 81.18%"
"[새로운 채용공고], 긍정 텍스트 확률 : 81.14%"
"[가뜰때마다푸시알람을받을수있습니다. ], 긍정 텍스트 확률 : 71.51%"
"[서울– ...?뉴스와이어 년 월 일 — 펍지주식회사대표 김창한가 전 세계 배틀그라운드 팬들의 뜨거운 관심과 성원 속에 주간 펼쳐진펍지 글로벌 챔피언십 ], 긍정 텍스트 확률 : 91.14%"
"[위 상위권에 오른엔투스 에이스와엔투스 포스는 최종 결과엔투스 포스가 위점], 긍정 텍스트 확률 : 73.67%"
"[ 엔투스 에이스가 위점를 기록했다. 일 차 위로 시작한 텔레콤 은 총 점을 얻으며 최종 위로 대회를 마무리했다.펍지주식회사 신지섭 센트럴 이스포츠 디렉터는 “년은 펍지 이스포츠에 있어 놀라운 한 해였고], 긍정 텍스트 확률 : 74.50%"
"[전 세계 최고의 프로 선수들이 많은 상금을 놓고 펼친 뜨거운 경쟁과 함께 올 시즌이 완벽하게 마무리됐다”며 “ 는 선수들과 팬], 긍정 텍스트 확률 : 98.74%"
"[커뮤니티 모두에게 큰 즐거움을 선사했다. 우승을 거머쥔 젠지는 물론 이번 대회에서 멋진 모습을 보여준 모든 팀들에 축하의 말을 전한다”고 말했다.년 펍지 이스포츠 시즌 계획은 월 초 공개될 예정이며 펍지 이스포츠와 관련된 자세한 정보는 공식 홈페이지에서 확인할 수 있다.이 기사는 엔터위크에서 제공합니다..엔터위크.블로그상에서 사진이 보이지 않는 경우 엔터위크 홈페이지로 이동하시기 바랍니다. ], 긍정 텍스트 확률 : 99.56%"
"[펍지주식회사는 배틀그라운드 주년 및 배틀그라운드 모바일 주년을 기념해 얼리엑세스출시 이후부터 현재까지의 인게임 음원 곡을 앨범에 담았다. 또한], 긍정 텍스트 확률 : 85.04%"
"[배틀그라운드 최초로 선보인아티스트 리믹싱 음원 종 △ △ △ 에는 각 아티스트의 개성이 담겼다. 세 곡 모두 익숙한 기존 사운드를 살리면서도 배틀그라운드 로비화면에서 느껴지는 웅장함과 비장함을 색다른 방식으로 전달한다.맑은 고딕], 긍정 텍스트 확률 : 91.98%"
"[배틀그라운드 뮤직 프로젝트 앨범은 네이버뮤직 서비스 바이브에서 만나볼 수 있으며], 긍정 텍스트 확률 : 63.27%"
"[뮤직비디오는 공식 유튜브 채널에서 감상할 수 있다.맑은 고딕], 긍정 텍스트 확률 : 66.95%"
